Zipcode,Center Point Lat,Center Point Lng,ID
601,18.180555,-66.749961,0.0
602,18.361945000000002,-67.175597,0.0
603,18.455182999999998,-67.119887,0.0
606,18.158345,-66.932911,0.0
610,18.295366,-67.125135,0.0
612,18.402252999999998,-66.71139699999999,0.0
616,18.420412,-66.67197900000001,0.0
617,18.445147,-66.559696,0.0
622,17.991245000000006,-67.153993,0.0
623,18.083361,-67.153897,1.0
624,18.064919,-66.71668299999999,0.0
627,18.4126,-66.863926,0.0
631,18.190607,-66.832041,1.0
637,18.076713,-66.947389,0.0
638,18.295913,-66.515588,0.0
641,18.263085,-66.712985,1.0
646,18.43315,-66.285875,0.0
647,17.963613,-66.94712700000001,0.0
650,18.349416,-66.578079,0.0
652,18.448452,-66.594127,0.0
653,17.985032999999994,-66.88653599999999,0.0
656,18.053539,-66.79293100000001,0.0
659,18.407226,-66.808999,0.0
660,18.134695,-67.116199,0.0
662,18.468320000000002,-67.015781,0.0
664,18.21033,-66.591616,0.0
667,18.003422,-67.03581,0.0
669,18.277102,-66.86964499999999,0.0
670,18.240187,-66.988776,0.0
674,18.422908,-66.489337,4.0
676,18.377637,-67.079574,1.0
677,18.332568,-67.22702199999999,0.0
678,18.434099,-66.927384,0.0
680,18.182055,-67.132502,2.0
682,18.221464,-67.156039,0.0
683,18.1078,-67.037263,2.0
685,18.332929,-66.959689,0.0
687,18.319026,-66.42055699999999,0.0
688,18.382264000000006,-66.62643800000001,0.0
690,18.49551,-67.098671,0.0
692,18.410188,-66.336556,0.0
693,18.423,-66.39723199999999,0.0
694,18.48237,-66.391079,1.0
698,18.064848,-66.856319,1.0
703,18.248401,-66.130662,0.0
704,17.965770000000006,-66.219555,0.0
705,18.128961,-66.266683,1.0
707,18.014055,-65.920751,0.0
714,18.003025,-66.046237,1.0
715,18.011232999999994,-66.56006500000001,0.0
716,17.99204,-66.605856,0.0
717,18.003222,-66.614037,1.0
718,18.231988,-65.759623,0.0
719,18.289927,-66.25344,0.0
720,18.217945999999998,-66.428076,1.0
723,18.043498,-66.015479,0.0
725,18.218819,-66.042375,0.0
727,18.215308,-66.073565,0.0
728,17.989853,-66.664116,0.0
729,18.323585,-65.883206,0.0
730,18.030831,-66.616838,0.0
731,18.109947000000002,-66.635622,2.0
735,18.252603,-65.68249399999999,0.0
736,18.103624,-66.151667,0.0
738,18.304458,-65.698711,2.0
739,18.177232999999998,-66.160645,1.0
740,18.331178,-65.63410400000001,0.0
741,18.163854999999998,-65.754042,0.0
745,18.352216000000002,-65.817387,0.0
751,18.001317,-66.252183,0.0
754,18.147107000000002,-65.976167,0.0
757,17.995441,-66.391334,0.0
765,18.130095999999998,-65.439369,1.0
766,18.133195999999998,-66.476916,0.0
767,18.069489,-65.89616099999999,0.0
769,18.1038,-66.357586,0.0
771,18.187148,-65.871189,0.0
772,18.438969,-65.905174,0.0
773,18.342888000000002,-65.723109,0.0
775,18.326598999999998,-65.30771999999999,1.0
777,18.224133,-65.90854200000001,0.0
778,18.264076,-65.97851,0.0
780,18.102834,-66.568105,0.0
782,18.225707999999997,-66.221633,0.0
783,18.303910000000002,-66.32617900000001,0.0
784,18.010714,-66.133615,0.0
786,18.155424,-66.229907,0.0
791,18.136782,-65.821476,2.0
794,18.198954999999998,-66.309833,0.0
795,18.060494,-66.500624,0.0
901,18.465369,-66.104613,0.0
906,18.46446,-66.094995,0.0
907,18.452552999999998,-66.077838,0.0
909,18.44161,-66.067132,1.0
911,18.451159,-66.05619899999999,0.0
912,18.445328,-66.060135,0.0
913,18.450001999999998,-66.04265600000001,0.0
915,18.437179,-66.045571,0.0
917,18.420673999999998,-66.050105,0.0
918,18.421022,-66.065789,0.0
920,18.414292,-66.088042,0.0
921,18.392282,-66.088555,2.0
923,18.409307000000002,-66.038888,0.0
924,18.399192000000006,-66.01245300000001,0.0
925,18.400296,-66.050602,0.0
926,18.3454,-66.05154499999999,2.0
927,18.388011,-66.072089,0.0
934,18.411313,-66.124234,0.0
936,18.395463,-66.07377199999999,5.0
949,18.430695999999998,-66.21283299999999,0.0
950,18.459699,-66.233101,0.0
951,18.427529999999997,-66.253789,0.0
952,18.427448000000002,-66.18202600000001,0.0
953,18.360729,-66.251527,0.0
956,18.321137,-66.170419,1.0
