ZCTA5,Final Type,,,,,,,,,
28685,Rural,,,,,,,,,
28689,Rural,,,,,,,,,
28690,Urbanized Area,,,,,,,,,
28692,Rural,,,,,,,,,
28693,Rural,,,,,,,,,
28694,Mixed,,,,,,,,,
28697,Mixed,,,,,,,,,
28698,Rural,,,,,,,,,
28701,Rural,,,,,,,,,
28702,Rural,,,,,,,,,
28704,Urbanized Area,,,,,,,,,
28705,Rural,,,,,,,,,
28707,Rural,,,,,,,,,
28708,Rural,,,,,,,,,
28709,Rural,,,,,,,,,
28711,Mixed,,,,,,,,,
28712,Mixed,,,,,,,,,
28713,Rural,,,,,,,,,
28714,Rural,,,,,,,,,
28715,Mixed,,,,,,,,,
28716,Mixed,,,,,,,,,
28717,Rural,,,,,,,,,
28718,Rural,,,,,,,,,
28719,Rural,,,,,,,,,
28720,Rural,,,,,,,,,
28721,Mixed,,,,,,,,,
28722,Rural,,,,,,,,,
28723,Mixed,,,,,,,,,
28725,Mixed,,,,,,,,,
28726,Urbanized Area,,,,,,,,,
28729,Urbanized Area,,,,,,,,,
28730,Mixed,,,,,,,,,
28731,Mixed,,,,,,,,,
28732,Urbanized Area,,,,,,,,,
28733,Rural,,,,,,,,,
28734,Mixed,,,,,,,,,
28735,Rural,,,,,,,,,
28736,Rural,,,,,,,,,
28739,Mixed,,,,,,,,,
28740,Rural,,,,,,,,,
28741,Rural,,,,,,,,,
28742,Mixed,,,,,,,,,
28743,Rural,,,,,,,,,
28745,Urbanized Area,,,,,,,,,
28746,Rural,,,,,,,,,
28747,Rural,,,,,,,,,
28748,Mixed,,,,,,,,,
28749,Rural,,,,,,,,,
28751,Rural,,,,,,,,,
28752,Mixed,,,,,,,,,
28753,Rural,,,,,,,,,
28754,Mixed,,,,,,,,,
28756,Rural,,,,,,,,,
28757,Mixed,,,,,,,,,
28759,Mixed,,,,,,,,,
28761,Rural,,,,,,,,,
28762,Rural,,,,,,,,,
28763,Rural,,,,,,,,,
28766,Rural,,,,,,,,,
28768,Mixed,,,,,,,,,
28771,Rural,,,,,,,,,
28772,Rural,,,,,,,,,
28773,Rural,,,,,,,,,
28774,Rural,,,,,,,,,
28775,Rural,,,,,,,,,
28777,Mixed,,,,,,,,,
28778,Urbanized Area,,,,,,,,,
28779,Mixed,,,,,,,,,
28781,Rural,,,,,,,,,
28782,Rural,,,,,,,,,
28783,Rural,,,,,,,,,
28785,Rural,,,,,,,,,
28786,Mixed,,,,,,,,,
28787,Mixed,,,,,,,,,
28789,Rural,,,,,,,,,
28790,Rural,,,,,,,,,
28791,Urbanized Area,,,,,,,,,
28792,Mixed,,,,,,,,,
28801,Urbanized Area,,,,,,,,,
28803,Urbanized Area,,,,,,,,,
28804,Urbanized Area,,,,,,,,,
28805,Urbanized Area,,,,,,,,,
28806,Urbanized Area,,,,,,,,,
28901,Rural,,,,,,,,,
28902,Rural,,,,,,,,,
28904,Rural,,,,,,,,,
28905,Rural,,,,,,,,,
28906,Rural,,,,,,,,,
28909,Rural,,,,,,,,,
29001,Rural,,,,,,,,,
29003,Mixed,,,,,,,,,
29006,Mixed,,,,,,,,,
29009,Rural,,,,,,,,,
29010,Mixed,,,,,,,,,
29014,Rural,,,,,,,,,
29015,Rural,,,,,,,,,
29016,Mixed,,,,,,,,,
29018,Rural,,,,,,,,,
29020,Mixed,,,,,,,,,
29030,Rural,,,,,,,,,
29031,Rural,,,,,,,,,
29032,Rural,,,,,,,,,
29033,Urbanized Area,,,,,,,,,
29036,Mixed,,,,,,,,,
29037,Rural,,,,,,,,,
29038,Rural,,,,,,,,,
29039,Mixed,,,,,,,,,
29040,Mixed,,,,,,,,,
29042,Mixed,,,,,,,,,
29044,Rural,,,,,,,,,
29045,Mixed,,,,,,,,,
29046,Rural,,,,,,,,,
29047,Rural,,,,,,,,,
29048,Rural,,,,,,,,,
29051,Rural,,,,,,,,,
29052,Rural,,,,,,,,,
29053,Mixed,,,,,,,,,
29054,Rural,,,,,,,,,
29055,Rural,,,,,,,,,
29056,Rural,,,,,,,,,
29058,Rural,,,,,,,,,
29059,Rural,,,,,,,,,
29061,Mixed,,,,,,,,,
29062,Rural,,,,,,,,,
29063,Urbanized Area,,,,,,,,,
29065,Rural,,,,,,,,,
29067,Rural,,,,,,,,,
29069,Rural,,,,,,,,,
29070,Rural,,,,,,,,,
29072,Urbanized Area,,,,,,,,,
29073,Urbanized Area,,,,,,,,,
29074,Rural,,,,,,,,,
29075,Rural,,,,,,,,,
29078,Mixed,,,,,,,,,
29079,Rural,,,,,,,,,
29080,Rural,,,,,,,,,
29081,Rural,,,,,,,,,
29082,Rural,,,,,,,,,
29101,Rural,,,,,,,,,
29102,Mixed,,,,,,,,,
29104,Rural,,,,,,,,,
29105,Rural,,,,,,,,,
29107,Rural,,,,,,,,,
29108,Mixed,,,,,,,,,
29111,Rural,,,,,,,,,
29112,Rural,,,,,,,,,
29113,Rural,,,,,,,,,
29114,Rural,,,,,,,,,
29115,Mixed,,,,,,,,,
29117,Urban Cluster,,,,,,,,,
29118,Mixed,,,,,,,,,
29122,Rural,,,,,,,,,
29123,Rural,,,,,,,,,
29125,Rural,,,,,,,,,
29126,Rural,,,,,,,,,
29127,Rural,,,,,,,,,
29128,Rural,,,,,,,,,
29129,Rural,,,,,,,,,
29130,Rural,,,,,,,,,
29133,Rural,,,,,,,,,
29135,Rural,,,,,,,,,
29137,Rural,,,,,,,,,
29138,Mixed,,,,,,,,,
29142,Rural,,,,,,,,,
29145,Rural,,,,,,,,,
29146,Rural,,,,,,,,,
29147,Mixed,,,,,,,,,
29148,Rural,,,,,,,,,
29150,Urbanized Area,,,,,,,,,
29152,Urbanized Area,,,,,,,,,
29153,Mixed,,,,,,,,,
29154,Mixed,,,,,,,,,
29160,Rural,,,,,,,,,
29161,Rural,,,,,,,,,
29162,Rural,,,,,,,,,
29163,Rural,,,,,,,,,
29164,Rural,,,,,,,,,
29166,Rural,,,,,,,,,
29168,Rural,,,,,,,,,
29169,Urbanized Area,,,,,,,,,
29170,Urbanized Area,,,,,,,,,
29172,Urbanized Area,,,,,,,,,
29175,Rural,,,,,,,,,
29178,Rural,,,,,,,,,
29180,Mixed,,,,,,,,,
29201,Urbanized Area,,,,,,,,,
29202,Urbanized Area,,,,,,,,,
29203,Urbanized Area,,,,,,,,,
29204,Urbanized Area,,,,,,,,,
29205,Urbanized Area,,,,,,,,,
29206,Urbanized Area,,,,,,,,,
29207,Urbanized Area,,,,,,,,,
29208,Urbanized Area,,,,,,,,,
29209,Urbanized Area,,,,,,,,,
29210,Urbanized Area,,,,,,,,,
29212,Urbanized Area,,,,,,,,,
29223,Urbanized Area,,,,,,,,,
29225,Urbanized Area,,,,,,,,,
29229,Urbanized Area,,,,,,,,,
29301,Urbanized Area,,,,,,,,,
29302,Urbanized Area,,,,,,,,,
29303,Urbanized Area,,,,,,,,,
29306,Urbanized Area,,,,,,,,,
29307,Urbanized Area,,,,,,,,,
29316,Urbanized Area,,,,,,,,,
29320,Urbanized Area,,,,,,,,,
29321,Mixed,,,,,,,,,
29322,Rural,,,,,,,,,
29323,Mixed,,,,,,,,,
29324,Urbanized Area,,,,,,,,,
29325,Mixed,,,,,,,,,
29329,Urbanized Area,,,,,,,,,
29330,Mixed,,,,,,,,,
29331,Rural,,,,,,,,,
29332,Rural,,,,,,,,,
29333,Urbanized Area,,,,,,,,,
29334,Urbanized Area,,,,,,,,,
29335,Rural,,,,,,,,,
29338,Rural,,,,,,,,,
29340,Mixed,,,,,,,,,
29341,Mixed,,,,,,,,,
29346,Urbanized Area,,,,,,,,,
29349,Mixed,,,,,,,,,
29351,Urban Cluster,,,,,,,,,
29353,Rural,,,,,,,,,
29355,Rural,,,,,,,,,
29356,Mixed,,,,,,,,,
29360,Mixed,,,,,,,,,
29364,Rural,,,,,,,,,
29365,Mixed,,,,,,,,,
29368,Urbanized Area,,,,,,,,,
29369,Urbanized Area,,,,,,,,,
29370,Rural,,,,,,,,,
29372,Rural,,,,,,,,,
29373,Rural,,,,,,,,,
29374,Rural,,,,,,,,,
29375,Urbanized Area,,,,,,,,,
29376,Mixed,,,,,,,,,
29377,Urbanized Area,,,,,,,,,
29378,Urbanized Area,,,,,,,,,
29379,Mixed,,,,,,,,,
29384,Rural,,,,,,,,,
29385,Urbanized Area,,,,,,,,,
29388,Mixed,,,,,,,,,
29401,Urbanized Area,,,,,,,,,
29403,Urbanized Area,,,,,,,,,
29404,Urbanized Area,,,,,,,,,
29405,Urbanized Area,,,,,,,,,
29406,Urbanized Area,,,,,,,,,
29407,Urbanized Area,,,,,,,,,
29409,Urbanized Area,,,,,,,,,
29410,Urbanized Area,,,,,,,,,
29412,Urbanized Area,,,,,,,,,
29414,Urbanized Area,,,,,,,,,
29418,Urbanized Area,,,,,,,,,
29420,Urbanized Area,,,,,,,,,
29423,Urbanized Area,,,,,,,,,
29424,Urbanized Area,,,,,,,,,
29426,Rural,,,,,,,,,
29429,Rural,,,,,,,,,
29431,Rural,,,,,,,,,
29432,Rural,,,,,,,,,
29434,Rural,,,,,,,,,
29435,Rural,,,,,,,,,
29436,Rural,,,,,,,,,
29437,Rural,,,,,,,,,
29438,Rural,,,,,,,,,
29439,Urbanized Area,,,,,,,,,
29440,Mixed,,,,,,,,,
29445,Urbanized Area,,,,,,,,,
29446,Rural,,,,,,,,,
29448,Rural,,,,,,,,,
29449,Rural,,,,,,,,,
29450,Rural,,,,,,,,,
29451,Urbanized Area,,,,,,,,,
29452,Rural,,,,,,,,,
29453,Rural,,,,,,,,,
29455,Mixed,,,,,,,,,
29456,Urbanized Area,,,,,,,,,
29458,Rural,,,,,,,,,
29461,Mixed,,,,,,,,,
29464,Urbanized Area,,,,,,,,,
29466,Urbanized Area,,,,,,,,,
29468,Rural,,,,,,,,,
29469,Rural,,,,,,,,,
29470,Rural,,,,,,,,,
29471,Rural,,,,,,,,,
29472,Rural,,,,,,,,,
29474,Rural,,,,,,,,,
29475,Rural,,,,,,,,,
29477,Rural,,,,,,,,,
29479,Rural,,,,,,,,,
29481,Rural,,,,,,,,,
29482,Urbanized Area,,,,,,,,,
29483,Urbanized Area,,,,,,,,,
29485,Urbanized Area,,,,,,,,,
29487,Rural,,,,,,,,,
29488,Mixed,,,,,,,,,
29492,Mixed,,,,,,,,,
29493,Rural,,,,,,,,,
29501,Urbanized Area,,,,,,,,,
29505,Urbanized Area,,,,,,,,,
29506,Mixed,,,,,,,,,
29510,Mixed,,,,,,,,,
29511,Rural,,,,,,,,,
29512,Mixed,,,,,,,,,
29516,Rural,,,,,,,,,
29518,Rural,,,,,,,,,
29519,Rural,,,,,,,,,
29520,Mixed,,,,,,,,,
29525,Rural,,,,,,,,,
29526,Mixed,,,,,,,,,
29527,Mixed,,,,,,,,,
29530,Rural,,,,,,,,,
29532,Mixed,,,,,,,,,
29536,Mixed,,,,,,,,,
29540,Rural,,,,,,,,,
29541,Rural,,,,,,,,,
29543,Rural,,,,,,,,,
29544,Rural,,,,,,,,,
29545,Rural,,,,,,,,,
29546,Rural,,,,,,,,,
29547,Rural,,,,,,,,,
29550,Mixed,,,,,,,,,
29554,Rural,,,,,,,,,
29555,Rural,,,,,,,,,
29556,Mixed,,,,,,,,,
29560,Mixed,,,,,,,,,
29563,Rural,,,,,,,,,
29564,Rural,,,,,,,,,
29565,Rural,,,,,,,,,
29566,Urbanized Area,,,,,,,,,
29567,Rural,,,,,,,,,
29568,Rural,,,,,,,,,
29569,Rural,,,,,,,,,
29570,Rural,,,,,,,,,
29571,Mixed,,,,,,,,,
29572,Urbanized Area,,,,,,,,,
29574,Mixed,,,,,,,,,
29575,Urbanized Area,,,,,,,,,
29576,Urbanized Area,,,,,,,,,
29577,Urbanized Area,,,,,,,,,
29579,Urbanized Area,,,,,,,,,
29580,Rural,,,,,,,,,
29581,Rural,,,,,,,,,
29582,Urbanized Area,,,,,,,,,
29583,Rural,,,,,,,,,
29584,Rural,,,,,,,,,
29585,Urban Cluster,,,,,,,,,
29588,Urbanized Area,,,,,,,,,
29590,Rural,,,,,,,,,
29591,Rural,,,,,,,,,
29592,Rural,,,,,,,,,
29593,Rural,,,,,,,,,
29594,Rural,,,,,,,,,
29596,Rural,,,,,,,,,
29601,Urbanized Area,,,,,,,,,
29605,Urbanized Area,,,,,,,,,
29607,Mixed,,,,,,,,,
29609,Urbanized Area,,,,,,,,,
29611,Urbanized Area,,,,,,,,,
29613,Urbanized Area,,,,,,,,,
29614,Urbanized Area,,,,,,,,,
29615,Urbanized Area,,,,,,,,,
29617,Urbanized Area,,,,,,,,,
29620,Mixed,,,,,,,,,
29621,Urbanized Area,,,,,,,,,
29624,Urbanized Area,,,,,,,,,
29625,Urbanized Area,,,,,,,,,
29626,Mixed,,,,,,,,,
29627,Mixed,,,,,,,,,
29628,Rural,,,,,,,,,
29630,Mixed,,,,,,,,,
29631,Urbanized Area,,,,,,,,,
29634,Urbanized Area,,,,,,,,,
29635,Rural,,,,,,,,,
29638,Rural,,,,,,,,,
29639,Rural,,,,,,,,,
29640,Mixed,,,,,,,,,
29642,Urbanized Area,,,,,,,,,
29643,Rural,,,,,,,,,
29644,Mixed,,,,,,,,,
29645,Rural,,,,,,,,,
29646,Mixed,,,,,,,,,
29649,Urban Cluster,,,,,,,,,
29650,Urbanized Area,,,,,,,,,
29651,Mixed,,,,,,,,,
29653,Rural,,,,,,,,,
29654,Mixed,,,,,,,,,
29655,Rural,,,,,,,,,
29657,Mixed,,,,,,,,,
29658,Rural,,,,,,,,,
29659,Rural,,,,,,,,,
29661,Mixed,,,,,,,,,
29662,Urbanized Area,,,,,,,,,
29664,Rural,,,,,,,,,
29665,Urban Cluster,,,,,,,,,
29666,Rural,,,,,,,,,
29667,Urbanized Area,,,,,,,,,
29669,Mixed,,,,,,,,,
29670,Mixed,,,,,,,,,
29671,Mixed,,,,,,,,,
29672,Mixed,,,,,,,,,
29673,Mixed,,,,,,,,,
29676,Rural,,,,,,,,,
29678,Mixed,,,,,,,,,
29680,Urbanized Area,,,,,,,,,
29681,Urbanized Area,,,,,,,,,
29682,Rural,,,,,,,,,
29683,Urbanized Area,,,,,,,,,
29684,Rural,,,,,,,,,
29685,Rural,,,,,,,,,
29686,Rural,,,,,,,,,
29687,Urbanized Area,,,,,,,,,
29689,Rural,,,,,,,,,
29690,Mixed,,,,,,,,,
29691,Mixed,,,,,,,,,
29692,Rural,,,,,,,,,
29693,Rural,,,,,,,,,
29696,Rural,,,,,,,,,
29697,Mixed,,,,,,,,,
29702,Rural,,,,,,,,,
29704,Mixed,,,,,,,,,
29706,Mixed,,,,,,,,,
29707,Urbanized Area,,,,,,,,,
29708,Urbanized Area,,,,,,,,,
29709,Rural,,,,,,,,,
29710,Mixed,,,,,,,,,
29712,Rural,,,,,,,,,
29714,Rural,,,,,,,,,
29715,Urbanized Area,,,,,,,,,
29717,Rural,,,,,,,,,
29718,Rural,,,,,,,,,
29720,Mixed,,,,,,,,,
29724,Rural,,,,,,,,,
29726,Rural,,,,,,,,,
29727,Rural,,,,,,,,,
29728,Mixed,,,,,,,,,
29729,Rural,,,,,,,,,
29730,Urbanized Area,,,,,,,,,
29732,Urbanized Area,,,,,,,,,
29733,Urbanized Area,,,,,,,,,
29741,Rural,,,,,,,,,
29742,Rural,,,,,,,,,
29743,Rural,,,,,,,,,
29745,Mixed,,,,,,,,,
29801,Mixed,,,,,,,,,
29803,Mixed,,,,,,,,,
29805,Rural,,,,,,,,,
29809,Mixed,,,,,,,,,
29810,Mixed,,,,,,,,,
29812,Mixed,,,,,,,,,
29816,Urbanized Area,,,,,,,,,
29817,Rural,,,,,,,,,
29819,Rural,,,,,,,,,
29821,Rural,,,,,,,,,
29824,Mixed,,,,,,,,,
29826,Rural,,,,,,,,,
29827,Rural,,,,,,,,,
29828,Urbanized Area,,,,,,,,,
29829,Mixed,,,,,,,,,
29831,Rural,,,,,,,,,
29832,Rural,,,,,,,,,
29834,Urbanized Area,,,,,,,,,
29835,Rural,,,,,,,,,
29836,Rural,,,,,,,,,
29838,Rural,,,,,,,,,
29840,Rural,,,,,,,,,
29841,Urbanized Area,,,,,,,,,
29842,Mixed,,,,,,,,,
29843,Rural,,,,,,,,,
29844,Rural,,,,,,,,,
29845,Rural,,,,,,,,,
29847,Rural,,,,,,,,,
29848,Rural,,,,,,,,,
29849,Rural,,,,,,,,,
29850,Rural,,,,,,,,,
29851,Urbanized Area,,,,,,,,,
29853,Rural,,,,,,,,,
29856,Rural,,,,,,,,,
29860,Mixed,,,,,,,,,
29899,Rural,,,,,,,,,
29902,Urban Cluster,,,,,,,,,
29904,Urban Cluster,,,,,,,,,
29905,Urban Cluster,,,,,,,,,
29906,Urban Cluster,,,,,,,,,
29907,Mixed,,,,,,,,,
29909,Mixed,,,,,,,,,
29910,Urbanized Area,,,,,,,,,
29911,Rural,,,,,,,,,
29912,Rural,,,,,,,,,
29915,Rural,,,,,,,,,
29916,Rural,,,,,,,,,
29918,Rural,,,,,,,,,
29920,Rural,,,,,,,,,
29921,Rural,,,,,,,,,
29922,Rural,,,,,,,,,
29923,Rural,,,,,,,,,
29924,Mixed,,,,,,,,,
29926,Urbanized Area,,,,,,,,,
29927,Mixed,,,,,,,,,
29928,Urbanized Area,,,,,,,,,
29929,Rural,,,,,,,,,
29932,Rural,,,,,,,,,
29934,Rural,,,,,,,,,
29935,Urban Cluster,,,,,,,,,
29936,Mixed,,,,,,,,,
29939,Rural,,,,,,,,,
29940,Rural,,,,,,,,,
29941,Rural,,,,,,,,,
29943,Rural,,,,,,,,,
29944,Mixed,,,,,,,,,
29945,Rural,,,,,,,,,
30002,Urbanized Area,,,,,,,,,
30004,Urbanized Area,,,,,,,,,
30005,Urbanized Area,,,,,,,,,
30008,Urbanized Area,,,,,,,,,
30009,Urbanized Area,,,,,,,,,
30011,Urbanized Area,,,,,,,,,
30012,Urbanized Area,,,,,,,,,
30013,Urbanized Area,,,,,,,,,
30014,Mixed,,,,,,,,,
30016,Urbanized Area,,,,,,,,,
30017,Urbanized Area,,,,,,,,,
30019,Urbanized Area,,,,,,,,,
30021,Urbanized Area,,,,,,,,,
30022,Urbanized Area,,,,,,,,,
30024,Urbanized Area,,,,,,,,,
30025,Mixed,,,,,,,,,
30028,Mixed,,,,,,,,,
30030,Urbanized Area,,,,,,,,,
30032,Urbanized Area,,,,,,,,,
30033,Urbanized Area,,,,,,,,,
30034,Urbanized Area,,,,,,,,,
30035,Urbanized Area,,,,,,,,,
30038,Urbanized Area,,,,,,,,,
30039,Urbanized Area,,,,,,,,,
30040,Urbanized Area,,,,,,,,,
30041,Urbanized Area,,,,,,,,,
30043,Urbanized Area,,,,,,,,,
30044,Urbanized Area,,,,,,,,,
30045,Urbanized Area,,,,,,,,,
30046,Urbanized Area,,,,,,,,,
30047,Urbanized Area,,,,,,,,,
30052,Urbanized Area,,,,,,,,,
30054,Rural,,,,,,,,,
30055,Rural,,,,,,,,,
30056,Rural,,,,,,,,,
30058,Urbanized Area,,,,,,,,,
30060,Urbanized Area,,,,,,,,,
30062,Urbanized Area,,,,,,,,,
30064,Urbanized Area,,,,,,,,,
30066,Urbanized Area,,,,,,,,,
30067,Urbanized Area,,,,,,,,,
30068,Urbanized Area,,,,,,,,,
30070,Urbanized Area,,,,,,,,,
30071,Urbanized Area,,,,,,,,,
30072,Urbanized Area,,,,,,,,,
30075,Urbanized Area,,,,,,,,,
30076,Urbanized Area,,,,,,,,,
30078,Urbanized Area,,,,,,,,,
30079,Urbanized Area,,,,,,,,,
30080,Urbanized Area,,,,,,,,,
30082,Urbanized Area,,,,,,,,,
30083,Urbanized Area,,,,,,,,,
30084,Urbanized Area,,,,,,,,,
30087,Urbanized Area,,,,,,,,,
30088,Urbanized Area,,,,,,,,,
30092,Urbanized Area,,,,,,,,,
30093,Urbanized Area,,,,,,,,,
30094,Urbanized Area,,,,,,,,,
30096,Urbanized Area,,,,,,,,,
30097,Urbanized Area,,,,,,,,,
30101,Urbanized Area,,,,,,,,,
30102,Urbanized Area,,,,,,,,,
30103,Mixed,,,,,,,,,
30104,Mixed,,,,,,,,,
30105,Rural,,,,,,,,,
30106,Urbanized Area,,,,,,,,,
30107,Rural,,,,,,,,,
30108,Rural,,,,,,,,,
30110,Mixed,,,,,,,,,
30113,Rural,,,,,,,,,
30114,Urbanized Area,,,,,,,,,
30115,Urbanized Area,,,,,,,,,
30116,Mixed,,,,,,,,,
30117,Mixed,,,,,,,,,
30118,Urban Cluster,,,,,,,,,
30120,Urbanized Area,,,,,,,,,
30121,Urbanized Area,,,,,,,,,
30122,Urbanized Area,,,,,,,,,
30124,Rural,,,,,,,,,
30125,Mixed,,,,,,,,,
30126,Urbanized Area,,,,,,,,,
30127,Urbanized Area,,,,,,,,,
30132,Mixed,,,,,,,,,
30134,Urbanized Area,,,,,,,,,
30135,Urbanized Area,,,,,,,,,
30137,Mixed,,,,,,,,,
30139,Rural,,,,,,,,,
30141,Urbanized Area,,,,,,,,,
30143,Mixed,,,,,,,,,
30144,Urbanized Area,,,,,,,,,
30145,Mixed,,,,,,,,,
30147,Mixed,,,,,,,,,
30148,Rural,,,,,,,,,
30149,Urbanized Area,,,,,,,,,
30152,Urbanized Area,,,,,,,,,
30153,Mixed,,,,,,,,,
30157,Urbanized Area,,,,,,,,,
30161,Mixed,,,,,,,,,
30164,Rural,,,,,,,,,
30165,Urbanized Area,,,,,,,,,
30168,Urbanized Area,,,,,,,,,
30170,Rural,,,,,,,,,
30171,Rural,,,,,,,,,
30173,Mixed,,,,,,,,,
30175,Rural,,,,,,,,,
30176,Rural,,,,,,,,,
30177,Urban Cluster,,,,,,,,,
30178,Rural,,,,,,,,,
30179,Mixed,,,,,,,,,
30180,Mixed,,,,,,,,,
30182,Rural,,,,,,,,,
30183,Rural,,,,,,,,,
30184,Rural,,,,,,,,,
30185,Rural,,,,,,,,,
30187,Rural,,,,,,,,,
30188,Urbanized Area,,,,,,,,,
30189,Urbanized Area,,,,,,,,,
30204,Mixed,,,,,,,,,
30205,Rural,,,,,,,,,
30206,Rural,,,,,,,,,
30213,Urbanized Area,,,,,,,,,
30214,Urbanized Area,,,,,,,,,
30215,Mixed,,,,,,,,,
30216,Rural,,,,,,,,,
30217,Rural,,,,,,,,,
30218,Rural,,,,,,,,,
30220,Mixed,,,,,,,,,
30222,Rural,,,,,,,,,
30223,Mixed,,,,,,,,,
30224,Mixed,,,,,,,,,
30228,Urbanized Area,,,,,,,,,
30230,Rural,,,,,,,,,
30233,Rural,,,,,,,,,
30234,Rural,,,,,,,,,
30236,Urbanized Area,,,,,,,,,
30238,Urbanized Area,,,,,,,,,
30240,Mixed,,,,,,,,,
30241,Mixed,,,,,,,,,
30248,Mixed,,,,,,,,,
30250,Urbanized Area,,,,,,,,,
30251,Rural,,,,,,,,,
30252,Mixed,,,,,,,,,
30253,Urbanized Area,,,,,,,,,
30256,Rural,,,,,,,,,
30257,Rural,,,,,,,,,
30258,Rural,,,,,,,,,
30259,Rural,,,,,,,,,
30260,Urbanized Area,,,,,,,,,
30263,Mixed,,,,,,,,,
30265,Urbanized Area,,,,,,,,,
30268,Mixed,,,,,,,,,
30269,Urbanized Area,,,,,,,,,
30273,Urbanized Area,,,,,,,,,
30274,Urbanized Area,,,,,,,,,
30275,Rural,,,,,,,,,
30276,Mixed,,,,,,,,,
30277,Urbanized Area,,,,,,,,,
30281,Urbanized Area,,,,,,,,,
30284,Urbanized Area,,,,,,,,,
30285,Rural,,,,,,,,,
30286,Mixed,,,,,,,,,
30288,Urbanized Area,,,,,,,,,
30289,Mixed,,,,,,,,,
30290,Urbanized Area,,,,,,,,,
30291,Urbanized Area,,,,,,,,,
30292,Rural,,,,,,,,,
30293,Rural,,,,,,,,,
30294,Urbanized Area,,,,,,,,,
30295,Rural,,,,,,,,,
30296,Urbanized Area,,,,,,,,,
30297,Urbanized Area,,,,,,,,,
30303,Urbanized Area,,,,,,,,,
30305,Urbanized Area,,,,,,,,,
30306,Urbanized Area,,,,,,,,,
30307,Urbanized Area,,,,,,,,,
30308,Urbanized Area,,,,,,,,,
30309,Urbanized Area,,,,,,,,,
30310,Urbanized Area,,,,,,,,,
30311,Urbanized Area,,,,,,,,,
30312,Urbanized Area,,,,,,,,,
30313,Urbanized Area,,,,,,,,,
30314,Urbanized Area,,,,,,,,,
30315,Urbanized Area,,,,,,,,,
30316,Urbanized Area,,,,,,,,,
30317,Urbanized Area,,,,,,,,,
30318,Urbanized Area,,,,,,,,,
30319,Urbanized Area,,,,,,,,,
30322,Urbanized Area,,,,,,,,,
30324,Urbanized Area,,,,,,,,,
30326,Urbanized Area,,,,,,,,,
30327,Urbanized Area,,,,,,,,,
30328,Urbanized Area,,,,,,,,,
30329,Urbanized Area,,,,,,,,,
30331,Urbanized Area,,,,,,,,,
30332,Urbanized Area,,,,,,,,,
30334,Urbanized Area,,,,,,,,,
30336,Urbanized Area,,,,,,,,,
30337,Urbanized Area,,,,,,,,,
30338,Urbanized Area,,,,,,,,,
30339,Urbanized Area,,,,,,,,,
30340,Urbanized Area,,,,,,,,,
30341,Urbanized Area,,,,,,,,,
30342,Urbanized Area,,,,,,,,,
30344,Urbanized Area,,,,,,,,,
30345,Urbanized Area,,,,,,,,,
30346,Urbanized Area,,,,,,,,,
30349,Urbanized Area,,,,,,,,,
30350,Urbanized Area,,,,,,,,,
30354,Urbanized Area,,,,,,,,,
30360,Urbanized Area,,,,,,,,,
30363,Urbanized Area,,,,,,,,,
30401,Mixed,,,,,,,,,
30410,Rural,,,,,,,,,
30411,Rural,,,,,,,,,
30412,Rural,,,,,,,,,
30413,Rural,,,,,,,,,
30415,Rural,,,,,,,,,
30417,Mixed,,,,,,,,,
30420,Rural,,,,,,,,,
30421,Rural,,,,,,,,,
30423,Rural,,,,,,,,,
30425,Rural,,,,,,,,,
30426,Rural,,,,,,,,,
30427,Rural,,,,,,,,,
30428,Rural,,,,,,,,,
30429,Urban Cluster,,,,,,,,,
30434,Mixed,,,,,,,,,
30436,Mixed,,,,,,,,,
30438,Rural,,,,,,,,,
30439,Mixed,,,,,,,,,
30441,Rural,,,,,,,,,
30442,Mixed,,,,,,,,,
30445,Rural,,,,,,,,,
30446,Rural,,,,,,,,,
30448,Rural,,,,,,,,,
30449,Rural,,,,,,,,,
30450,Rural,,,,,,,,,
30451,Rural,,,,,,,,,
30452,Rural,,,,,,,,,
30453,Mixed,,,,,,,,,
30454,Rural,,,,,,,,,
30455,Rural,,,,,,,,,
30456,Rural,,,,,,,,,
30457,Mixed,,,,,,,,,
30458,Urban Cluster,,,,,,,,,
30460,Urban Cluster,,,,,,,,,
30461,Mixed,,,,,,,,,
30464,Rural,,,,,,,,,
30467,Rural,,,,,,,,,
30470,Rural,,,,,,,,,
30471,Rural,,,,,,,,,
30473,Rural,,,,,,,,,
30474,Mixed,,,,,,,,,
30475,Mixed,,,,,,,,,
30477,Rural,,,,,,,,,
30501,Urbanized Area,,,,,,,,,
30504,Urbanized Area,,,,,,,,,
30506,Mixed,,,,,,,,,
30507,Urbanized Area,,,,,,,,,
30510,Mixed,,,,,,,,,
30511,Mixed,,,,,,,,,
30512,Rural,,,,,,,,,
30513,Rural,,,,,,,,,
30516,Rural,,,,,,,,,
30517,Mixed,,,,,,,,,
30518,Urbanized Area,,,,,,,,,
30519,Urbanized Area,,,,,,,,,
30520,Rural,,,,,,,,,
30521,Rural,,,,,,,,,
30522,Rural,,,,,,,,,
30523,Rural,,,,,,,,,
30525,Mixed,,,,,,,,,
30527,Rural,,,,,,,,,
30528,Rural,,,,,,,,,
30529,Mixed,,,,,,,,,
30530,Rural,,,,,,,,,
30531,Mixed,,,,,,,,,
30533,Rural,,,,,,,,,
30534,Rural,,,,,,,,,
30535,Mixed,,,,,,,,,
