Zipcode,State,Land Area (sq mi),Center Point Lat,Center Point Lng
00934,PR,0.7490000000000001,18.411313,-66.124234
00936,PR,0.161,18.395463,-66.07377199999999
00949,PR,17.592,18.430695999999998,-66.21283299999999
00950,PR,2.396,18.459699,-66.233101
00951,PR,0.415,18.427529999999997,-66.253789
00952,PR,1.237,18.427448000000002,-66.18202600000001
00953,PR,26.697,18.360729,-66.251527
00956,PR,26.473000000000003,18.321137,-66.170419
00957,PR,4.621,18.368414,-66.18769300000001
00959,PR,6.416,18.385785000000002,-66.155654
00960,PR,0.93,18.416919,-66.14579499999999
00961,PR,5.1579999999999995,18.413307,-66.164683
00962,PR,3.8139999999999996,18.444614,-66.148839
00965,PR,0.66,18.433757,-66.114752
00966,PR,3.22,18.401521,-66.117597
00968,PR,0.45799999999999996,18.406085,-66.101232
00969,PR,4.8839999999999995,18.368062,-66.108062
00971,PR,15.957,18.318884,-66.11919
00976,PR,16.74,18.336176000000002,-65.994099
00979,PR,1.56,18.444394,-66.030036
00982,PR,1.42,18.411261,-65.99204499999999
00983,PR,3.46,18.417816000000002,-65.975819
00985,PR,8.14,18.41077,-65.947928
00987,PR,24.816,18.338161,-65.94108299999999
01001,MA,11.442,42.062368,-72.625754
01002,MA,55.043,42.364061,-72.45873900000001
01003,MA,0.711,42.389941,-72.524108
01005,MA,44.242,42.418848,-72.10659799999999
01007,MA,52.643,42.27901,-72.400468
01008,MA,53.79600000000001,42.190144000000004,-72.95435
01009,MA,0.797,42.211969,-72.341433
01010,MA,34.742,42.128176,-72.205352
01011,MA,31.616,42.300281,-72.968716
01012,MA,13.119000000000002,42.375425,-72.858192
01013,MA,5.624,42.154903999999995,-72.602804
01020,MA,12.47,42.172602000000005,-72.562073
01022,MA,4.761,42.197741,-72.542713
01026,MA,24.004,42.465495000000004,-72.918267
01027,MA,40.501,42.295008,-72.75187700000001
01028,MA,13.005999999999998,42.062378,-72.498111
01029,MA,15.847999999999999,42.193395,-73.044647
01030,MA,11.867,42.072925,-72.686972
01031,MA,8.092,42.329399,-72.198187
01032,MA,11.769,42.457613,-72.81478
01033,MA,27.826,42.244949,-72.50014300000001
01034,MA,71.597,42.098676,-72.961564
01035,MA,23.086,42.356491,-72.568632
01036,MA,19.512999999999998,42.062946000000004,-72.41729699999999
01037,MA,14.110999999999999,42.372728,-72.195412
01038,MA,9.998,42.385496,-72.60692900000001
01039,MA,13.207,42.404278000000005,-72.68892199999999
01040,MA,21.281,42.211656,-72.642448
01050,MA,38.329,42.286762,-72.869695
01053,MA,5.131,42.356301,-72.713584
01054,MA,22.807,42.468897999999996,-72.48457900000001
01056,MA,27.205,42.183577,-72.457812
01057,MA,44.908,42.093596000000005,-72.321494
01060,MA,10.92,42.321488,-72.630588
01062,MA,18.154,42.328308,-72.703924
01063,MA,0.039,42.318882,-72.63853
01066,MA,0.71,42.406903,-72.655018
01068,MA,20.82,42.350862,-72.044248
01069,MA,28.065,42.187794,-72.30846899999999
01070,MA,20.541,42.518446000000004,-72.91901700000001
01071,MA,15.579,42.160059999999994,-72.873853
01072,MA,20.086,42.456967999999996,-72.417244
01073,MA,28.151999999999997,42.226949,-72.74158800000001
01074,MA,0.085,42.387603000000006,-72.09323
01075,MA,17.718,42.256208,-72.58103
01077,MA,30.820999999999998,42.05257,-72.777353
01079,MA,1.128,42.197913,-72.329709
01080,MA,1.7269999999999999,42.185727,-72.361558
01081,MA,14.497,42.061313,-72.234411
01082,MA,46.105,42.293533000000004,-72.278599
01083,MA,15.78,42.203641999999995,-72.194599
01084,MA,9.197000000000001,42.39237,-72.882235
01085,MA,59.882,42.153503,-72.771602
01086,MA,0.037000000000000005,42.130446,-72.79396700000001
01088,MA,5.2,42.391709000000006,-72.64649399999999
01089,MA,16.713,42.125451,-72.649734
01092,MA,6.702999999999999,42.191868,-72.235108
01093,MA,5.044,42.441943,-72.661817
01094,MA,1.136,42.359108,-72.1368
01095,MA,22.614,42.138498999999996,-72.420715
01096,MA,31.683000000000003,42.39714,-72.763572
01097,MA,1.709,42.178038,-72.832612
01098,MA,31.351999999999997,42.394315,-72.943115
01103,MA,0.46,42.104106,-72.592027
01104,MA,5.216,42.134009000000006,-72.56537800000001
01105,MA,1.2429999999999999,42.099958,-72.580765
01106,MA,9.301,42.047565000000006,-72.57113000000001
01107,MA,1.507,42.12106,-72.607068
01108,MA,3.7230000000000003,42.080692,-72.56079100000001
01109,MA,5.442,42.119673999999996,-72.549726
01118,MA,3.595,42.094194,-72.525081
01119,MA,3.55,42.124978000000006,-72.51120999999999
01128,MA,1.117,42.092296000000005,-72.489135
01129,MA,3.424,42.11869,-72.4882
01151,MA,2.3680000000000003,42.15186,-72.50913100000001
01199,MA,0.011000000000000001,42.120563,-72.60446800000001
01201,MA,52.918,42.448236,-73.27372700000001
01220,MA,24.596,42.623799,-73.116736
01222,MA,3.307,42.058703,-73.322175
01223,MA,69.751,42.312225,-73.110124
01224,MA,0.278,42.513163,-73.19574300000001
01225,MA,25.105999999999998,42.563401,-73.153335
01226,MA,26.378,42.481119,-73.13507299999999
01229,MA,0.733,42.276338,-73.33589599999999
01230,MA,91.522,42.173192,-73.324283
01235,MA,45.643,42.425676,-73.063012
01236,MA,4.802,42.266496000000004,-73.378393
01237,MA,61.823,42.547818,-73.268033
01238,MA,34.833,42.297501000000004,-73.230148
01240,MA,21.38,42.367858,-73.269763
01242,MA,0.49700000000000005,42.333734,-73.249199
01243,MA,18.651,42.350122,-73.024112
01244,MA,2.45,42.118094,-73.257497
01245,MA,27.98,42.186893,-73.223105
01247,MA,52.526,42.698526,-73.0843
01253,MA,18.267,42.206683,-73.113214
01254,MA,14.561,42.382019,-73.365492
01255,MA,51.806000000000004,42.107496000000005,-73.118607
01256,MA,35.845,42.594165999999994,-73.02232
01257,MA,36.234,42.085244,-73.367483
01258,MA,25.807,42.10928,-73.462886
01259,MA,25.326,42.075469,-73.234376
01260,MA,2.511,42.295696,-73.342543
01262,MA,12.034,42.292202,-73.319209
01264,MA,11.360999999999999,42.231590000000004,-73.202428
01266,MA,26.052,42.312354,-73.388044
01267,MA,54.553999999999995,42.671617,-73.246981
01270,MA,31.858,42.515271999999996,-73.031166
01301,MA,25.491,42.626761,-72.60153000000001
01330,MA,33.326,42.513946999999995,-72.821517
01331,MA,53.224,42.562408000000005,-72.19108
01337,MA,37.222,42.689307,-72.582249
