Pov Group,Pov Pct
His,99.6317097873124
His,93.6878453038674
His,97.02266389096194
His,99.80343980343982
His,98.82184933952159
His,99.5760942869071
His,99.94767137624281
His,99.19531821506949
His,99.74677716390423
His,100.0
His,99.08276005836981
His,99.4484179900594
His,100.0
His,98.51239669421487
His,99.73885469128894
His,99.7708674304419
His,98.70733478576615
His,99.77390180878552
His,99.62811454072146
His,100.0
His,99.31592039800995
His,99.6930363094194
His,99.61190168175938
His,99.61575408261287
His,99.02313624678663
His,99.72728264426748
His,99.85661614092585
His,99.67910400805387
His,99.05855771041236
His,98.38002373213641
His,98.90412258646046
His,93.89872717210847
His,99.74161918643169
His,99.50740797311745
His,98.8155868767026
His,99.95648389904265
His,99.4682242175922
His,99.67314736545507
His,98.7310430207366
His,96.84625492772668
His,98.98939695162359
His,95.44888002564011
His,100.0
His,99.7009122177359
His,99.80997313413276
His,97.94016674840607
His,99.81409498056448
His,99.83162406245216
His,99.8098098098098
His,98.68839427662957
His,99.72271736977619
His,98.78260869565217
His,99.77937513344246
His,99.80600709077531
His,99.97763530639631
His,99.78899082568807
His,99.20501410896462
His,99.67338986935594
His,99.6938775510204
His,99.88984357788058
His,99.68240297141627
His,100.0
His,99.8193641618497
His,99.63764705882353
His,99.63332654308414
His,99.85518240121371
His,100.0
His,99.54090150250417
His,98.83543806201169
His,99.3121693121693
His,99.83210912906611
His,100.0
His,99.65938120919671
His,99.43853870339872
His,99.79931344071825
His,99.71027989032024
His,99.45387062566277
His,99.95654063450674
His,98.73703202525937
His,94.35028248587571
His,99.03659877480496
His,98.7758707723372
His,99.05143338954468
His,99.86527752829171
His,99.77391479099678
His,99.89301330356312
His,100.0
His,99.74791030914156
His,100.0
His,99.81706019995745
His,96.49717514124293
His,100.0
His,95.92742713761821
His,98.53479853479854
His,93.74083129584352
His,99.0465293668955
His,99.25361025474606
His,99.27645127177604
His,99.16715657456399
His,99.4069681245367
His,98.70437667878022
His,98.9325486123132
His,99.61472308221533
His,97.99241838155656
His,94.13863404689093
His,99.22128063344567
His,98.6046511627907
Other,
Other,
His,99.54180201743887
No_Pop,0.0
His,100.0
His,98.97084048027445
His,99.11457876742351
His,99.34925579785393
His,99.30429522081064
His,99.6410327212481
His,100.0
His,99.14712153518124
His,99.67761610176875
His,98.85030502111685
His,98.88739042481457
His,100.0
His,98.42644723545546
His,100.0
His,99.56178316381735
His,94.69939523301316
His,100.0
His,99.43806498900561
His,99.3562978427279
His,99.40500981733803
White,81.73076923076923
White,74.1014278680453
Black,70.45454545454545
White,100.0
White,83.91143911439114
White,100.0
White,100.0
White,100.0
White,93.04347826086956
White,100.0
White,72.19815917704385
White,73.66863905325444
Black,42.022116903633496
White,86.20689655172413
White,84.76253298153034
White,91.4187643020595
White,96.26168224299066
White,98.04791481810116
White,91.88405797101449
White,100.0
White,100.0
White,98.1651376146789
White,92.63456090651559
White,100.0
White,67.16417910447761
White,97.0414201183432
White,100.0
His,76.81709794224145
White,97.00854700854701
White,78.343949044586
White,57.51633986928104
White,90.6813627254509
White,95.66360052562418
White,80.06496142915144
White,73.80796864794252
Other,
Other,
White,100.0
White,96.6789667896679
White,89.28571428571429
White,93.93939393939394
White,86.11111111111111
White,79.4478527607362
Other,
White,89.72513089005236
White,100.0
White,100.0
White,89.77635782747603
White,100.0
White,93.62261669953978
White,100.0
White,100.0
White,70.98275390090338
Other,
White,100.0
White,74.15295256534365
White,99.31972789115646
White,100.0
White,100.0
White,83.41968911917098
White,94.35897435897435
Other,
White,89.1891891891892
His,75.0
His,75.61190092334749
His,76.32112236944661
White,80.54755043227667
His,86.19238476953907
His,59.65206958608278
His,57.936507936507944
White,57.48031496062992
White,65.4164637116415
White,100.0
White,67.89473684210526
White,54.98800137127186
No_Pop,0.0
White,75.74576726686375
White,93.7192118226601
White,100.0
White,99.38650306748467
Other,69.56521739130434
White,84.11764705882354
White,97.05583756345177
White,100.0
White,82.21528861154445
White,91.4572864321608
White,100.0
White,76.31578947368422
White,90.33816425120773
White,81.93979933110369
White,66.66666666666666
White,100.0
White,100.0
White,75.49019607843137
White,83.2933653077538
White,80.55555555555556
White,67.79661016949152
White,100.0
White,78.125
White,99.70501474926253
White,88.88888888888889
White,100.0
White,100.0
White,91.80327868852459
White,100.0
White,75.60975609756098
White,73.17518248175182
White,100.0
White,81.32505175983437
White,80.58252427184466
White,94.0733299849322
White,96.96969696969697
White,100.0
White,96.64429530201343
White,76.0
White,92.06349206349206
White,80.48780487804879
Other,
White,90.78947368421053
White,100.0
White,100.0
Other,71.42857142857143
White,100.0
White,81.0126582278481
White,48.80952380952381
White,100.0
White,98.46153846153847
White,98.16007359705611
White,88.88888888888889
White,97.58064516129032
White,97.82608695652173
White,96.93251533742331
White,92.52669039145907
White,97.01686121919585
White,71.52641878669276
White,95.3125
White,85.03401360544217
White,66.30872483221476
White,79.64205816554811
White,93.2806324110672
White,100.0
White,62.857142857142854
White,100.0
White,99.47368421052632
White,91.92360163710778
White,95.14285714285714
Black,50.688705234159784
White,100.0
White,81.02611940298507
White,94.1919191919192
White,94.15322580645162
White,98.64457831325302
White,78.2798833819242
White,100.0
White,100.0
White,88.9967637540453
White,94.04761904761905
White,51.515151515151516
White,84.38202247191012
White,92.46987951807229
White,98.73417721518987
White,91.11969111969111
White,97.2972972972973
White,61.461794019933556
White,95.24590163934427
White,87.84972022382095
White,100.0
White,100.0
White,100.0
White,69.79865771812081
White,91.58878504672897
White,91.8918918918919
White,58.333333333333336
White,100.0
White,74.8888888888889
Other,
White,84.9680170575693
