Zipcode,Total Discharges,Average Charge,National Average Charge,Difference
10003,72.7196261682243,16867.59271028037,11566.621962616808,5300.97074766355
10016,50.69117647058823,20250.382426470587,11320.090220588236,8930.292205882359
10019,43.46153846153846,17563.18009615385,11485.672403846153,6077.507692307691
10021,108.9771689497717,19834.264748858433,12282.21210045663,7552.052648401829
10029,72.064,19553.34328,11457.78511999999,8095.55816
10037,21.041666666666668,17266.7,7976.664166666666,9290.035833333335
10304,28.410714285714285,15563.950000000003,10011.900714285712,5552.049285714287
10305,57.464646464646464,15948.043535353534,11380.942020202021,4567.101515151515
10451,25.73170731707317,24089.47024390244,8980.413414634146,15109.056829268291
10456,25.77777777777778,20708.12277777778,9035.673888888887,11672.448888888888
10457,24.689655172413794,22626.75413793104,10268.747241379311,12358.006896551724
10461,27.225,23590.18675,10228.113,13362.073750000001
10467,86.68333333333334,20657.395083333333,11542.026333333326,9115.368750000001
10512,35.264150943396224,9743.048490566038,9833.886603773584,-90.83811320754725
10549,30.879310344827587,10376.437413793108,10911.569827586207,-535.1324137931034
10550,17.25,10794.501875,7987.235000000001,2807.2668750000003
10567,42.0,9877.941403508774,10117.955614035089,-240.01421052631594
10591,33.627450980392155,10716.951764705884,9836.858823529412,880.0929411764705
10595,34.60674157303371,22317.780674157297,11810.775168539329,10507.005505617977
10601,40.83720930232558,12142.076395348839,11591.404069767439,550.6723255813953
10701,38.737864077669904,12811.138446601944,9948.770679611653,2862.367766990292
10708,35.24590163934426,10098.404918032782,9882.132131147539,216.27278688524595
10802,33.38,14581.550399999996,9956.323199999997,4625.2272
10901,43.357142857142854,11572.01880952381,11651.966547619046,-79.94773809523794
10940,58.89320388349515,14862.209417475731,11948.02747572815,2914.1819417475726
10960,46.2463768115942,11295.316666666666,10167.233768115944,1128.0828985507244
10990,33.1875,8588.07125,9892.2075,-1304.1362500000002
11030,87.31304347826087,16175.061304347828,11834.100086956514,4340.961217391304
11040,53.633663366336634,18983.761584158416,11845.466534653455,7138.29504950495
11201,28.980392156862745,18705.059019607845,9689.577254901958,9015.48176470588
11203,27.572413793103447,18954.020275862065,9668.919448275861,9285.100827586202
11206,19.157894736842106,24145.463157894737,9352.173684210526,14793.289473684214
11212,24.377777777777776,19187.692888888887,10015.56311111111,9172.12977777778
11213,20.05263157894737,21336.813684210527,10139.601052631579,11197.212631578946
11215,58.45,17058.1746,11353.550699999994,5704.623900000001
11219,63.960396039603964,19851.856237623764,11751.391386138603,8100.4648514851515
11220,40.61038961038961,21705.071038961043,11029.428311688314,10675.64272727273
11229,35.17391304347826,12116.378405797097,10002.918840579709,2113.4595652173903
11235,39.492537313432834,16784.376119402983,10005.74119402985,6778.634925373134
11237,28.48,16251.163199999994,9665.992399999996,6585.1708
11355,50.687943262411345,16027.344964539008,10557.514468085106,5469.830496453899
11373,26.367346938775512,20241.304081632654,9633.52775510204,10607.776326530611
11375,42.69565217391305,13290.743768115944,9798.60463768116,3492.1391304347812
11418,33.355932203389834,17038.925762711864,10083.275762711864,6955.65
11432,23.321428571428573,19382.70357142857,9128.62392857143,10254.07964285714
11501,56.077669902912625,17683.048155339806,11975.282524271834,5707.765631067963
11542,27.325,8267.714500000002,8618.498999999998,-350.7845000000002
11554,36.48275862068966,16306.626896551727,9422.397413793102,6884.229482758622
11570,31.03030303030303,10893.787424242424,9939.498030303028,954.289393939394
11572,57.36734693877551,12556.062448979588,11450.6993877551,1105.3630612244904
11576,61.9010989010989,12473.397472527471,12441.632417582414,31.765054945054843
11580,32.0,10559.706226415094,9446.49509433962,1113.2111320754714
11691,33.44,18134.509400000003,10084.476799999997,8050.0326000000005
11706,43.64473684210526,12311.618289473685,11001.952236842104,1309.666052631579
11714,34.932203389830505,10210.541355932204,10018.481694915254,192.05966101694924
11743,48.170212765957444,12322.224468085105,11971.14393617021,351.0805319148935
11772,51.07058823529412,12020.046470588235,10709.397764705884,1310.6487058823532
11777,40.61904761904762,10875.040158730155,10351.351984126974,523.6881746031743
11787,34.58024691358025,9565.7775308642,10505.724444444442,-939.9469135802469
11794,60.11711711711712,18475.901261261257,11943.324324324316,6532.576936936936
11795,49.67,13161.702100000004,11893.352599999995,1268.3494999999996
11803,40.492753623188406,11308.697536231884,9968.30115942029,1340.3963768115939
11901,41.610169491525426,10578.099661016951,9812.755423728813,765.3442372881356
11944,17.846153846153847,10211.777692307693,9471.351538461537,740.426153846154
11968,30.444444444444443,13159.845333333335,10305.611999999996,2854.233333333333
12010,30.454545454545453,7380.983863636366,9182.99409090909,-1802.0102272727272
12043,18.142857142857142,7748.655714285715,7629.901428571429,118.75428571428581
12078,23.428571428571427,8235.120476190477,10303.664285714287,-2068.543809523809
12180,28.333333333333332,7096.640317460317,9454.215555555555,-2357.575238095239
12204,22.09090909090909,6765.777727272729,9752.90409090909,-2987.126363636364
12208,49.707317073170735,12781.427073170735,11793.783707317083,987.6433658536585
12308,40.59770114942529,9903.373103448273,10885.88597701149,-982.5128735632181
12401,39.733333333333334,8999.295600000001,10059.053866666669,-1059.7582666666667
12534,34.38636363636363,7792.967272727271,9168.337045454544,-1375.3697727272724
12550,38.71232876712329,11494.326849315068,10482.72191780822,1011.6049315068487
12572,31.85185185185185,8808.44962962963,9697.448148148149,-888.9985185185188
12601,59.35,12151.159599999997,11679.421699999995,471.7379000000001
12742,27.83783783783784,9732.58810810811,9722.554864864864,10.033243243243083
12771,32.96,9172.575599999998,9020.9604,151.61520000000004
12801,33.87179487179487,9465.661538461538,11529.922179487181,-2064.260641025642
12866,33.73684210526316,9265.697719298247,10695.234912280706,-1429.537192982456
12901,41.32911392405063,12203.043924050633,10940.59151898734,1262.452405063291
12953,22.31578947368421,7710.403157894737,9143.682105263157,-1433.2789473684209
12983,24.272727272727273,12199.01909090909,13694.144545454543,-1495.1254545454542
13021,34.09756097560975,8720.687804878049,9247.342926829268,-526.6551219512198
13045,30.06451612903226,7348.730000000001,9536.284838709676,-2187.5548387096783
13126,30.677419354838708,7895.6254838709665,8537.832258064516,-642.2067741935484
13203,61.388888888888886,11799.868425925924,12133.712685185177,-333.8442592592592
13210,44.229166666666664,14054.044010416661,11474.189427083329,2579.8545833333333
13326,29.876712328767123,14038.444657534244,11575.897397260274,2462.547260273973
13421,20.72,7756.590399999999,10837.931199999999,-3081.3408
13440,25.666666666666668,6543.977999999999,8750.155333333332,-2206.1773333333335
13501,36.31428571428572,9616.489,10811.146714285711,-1194.6577142857145
13503,42.86585365853659,9055.591097560977,10689.574390243904,-1633.983292682927
13601,30.163265306122447,13414.141428571427,9753.280612244895,3660.8608163265303
13662,20.625,7873.969583333332,8776.810833333335,-902.84125
13669,22.047619047619047,8553.206666666669,9744.610476190475,-1191.4038095238095
13676,26.305555555555557,7899.326388888889,9283.543055555558,-1384.216666666667
13790,41.976470588235294,11542.524588235296,12149.906235294118,-607.3816470588234
13815,18.63157894736842,8602.003157894736,9507.907368421054,-905.9042105263158
13820,27.586206896551722,6209.272068965518,8755.428965517242,-2546.1568965517235
13905,40.196969696969695,8533.930454545456,10945.217424242426,-2411.2869696969706
14020,26.105263157894736,8009.318421052631,9360.433684210526,-1351.1152631578946
14048,19.823529411764707,6779.839411764707,9031.82411764706,-2251.9847058823525
14070,15.25,6379.3425,12241.177499999998,-5861.834999999999
14092,25.035714285714285,7632.882857142856,8781.7875,-1148.9046428571428
14094,26.703703703703702,8453.188148148147,9574.914444444445,-1121.7262962962968
14103,12.0,10856.5,16198.59,-5342.09
14141,21.375,6439.289999999999,9306.655,-2867.365
14210,64.14150943396227,14883.310566037737,11995.249716981123,2888.0608490566037
14214,28.770491803278688,11143.588196721312,11150.212950819674,-6.624754098360725
14215,31.735849056603772,16049.934150943403,10537.444716981134,5512.489433962262
14217,32.02857142857143,9552.134857142857,11800.132857142857,-2247.9979999999996
