Edu Score,Population,Zipcode
47.1327861952862,17982.0,00601
54.318233459337755,40260.0,00602
52.42403679408883,52408.0,00603
40.42369217466493,6331.0,00606
47.259792727911474,28328.0,00610
52.25951104876324,64816.0,00612
46.319168236689684,10707.0,00616
46.715420901003576,24793.0,00617
50.62578941325066,7425.0,00622
53.28631083973752,42955.0,00623
48.02006059972834,24628.0,00624
51.10612295797481,33949.0,00627
43.6980166346769,1664.0,00631
47.519898121617324,24398.0,00637
45.59370529327611,18084.0,00638
49.05682381410537,29516.0,00641
55.250272574090594,38396.0,00646
45.4145371947757,5740.0,00647
43.556729393639266,14738.0,00650
51.275167785234906,3800.0,00652
46.24370594159114,12514.0,00653
49.20193236714976,20414.0,00656
55.10812378723319,41578.0,00659
49.50999607996864,16845.0,00660
49.436328842911,42499.0,00662
46.17367488319639,15974.0,00664
48.755541592487866,24968.0,00667
48.97721250662426,27703.0,00669
46.41033995872706,9333.0,00670
51.634582526483655,42358.0,00674
48.06024850272638,38999.0,00676
54.28859202714165,14855.0,00677
49.827249511792104,26815.0,00678
48.271798900235666,52431.0,00680
53.49826253825009,32431.0,00682
51.243343592750016,32569.0,00683
47.56631118403063,40800.0,00685
48.25820532191724,32294.0,00687
47.543795173343135,12870.0,00688
57.96815370443479,5565.0,00690
53.46473190036471,36777.0,00692
56.71788282741759,58615.0,00693
66.66666666666667,77.0,00694
48.029838544860006,39395.0,00698
44.41778926001107,28165.0,00703
51.789745243469845,8007.0,00704
48.55474732006126,24717.0,00705
48.64318482233108,11701.0,00707
47.465588367438635,18988.0,00714
44.92378487201611,3586.0,00715
56.018099547511305,30876.0,00716
54.154563858815244,17704.0,00717
49.43036731486938,26547.0,00718
47.2427629693322,30588.0,00719
44.51963746223566,22676.0,00720
45.813743648193,18441.0,00723
53.672873975188075,86276.0,00725
59.0255411579657,56503.0,00727
51.35774647887323,41337.0,00728
50.50294678069747,53439.0,00729
50.82127536618435,34965.0,00730
46.52138821630347,14382.0,00731
50.821151416711785,13063.0,00735
50.421088465580276,50335.0,00736
49.82068771535054,33205.0,00738
50.283553875236294,37970.0,00739
43.6965811965812,1515.0,00740
47.1159420289855,5514.0,00741
50.8142713278665,53797.0,00745
46.69168900804289,22777.0,00751
48.87208802016104,39651.0,00754
52.3700781952806,22913.0,00757
48.46126319556271,8993.0,00765
46.36335176875718,24875.0,00766
47.674006939035614,36340.0,00767
49.687389406629705,39670.0,00769
49.06650396583283,38340.0,00771
45.233846382630674,21478.0,00772
48.9866634433297,19497.0,00773
44.38943894389439,1554.0,00775
52.78014103945702,40570.0,00777
58.378461775823496,46765.0,00778
58.227121368699045,13016.0,00780
44.32911512393952,18530.0,00782
47.379596322941644,35151.0,00783
47.57996985429576,42625.0,00784
42.08566108007449,288.0,00786
52.21002190178007,50809.0,00791
47.76692765608047,30215.0,00794
50.590488349824454,46450.0,00795
63.56292517006802,6132.0,00901
89.33333333333333,73.0,00906
68.38192668371697,17382.0,00907
57.978279030910606,5616.0,00909
66.84214541847868,7444.0,00911
57.272397533550965,5979.0,00912
52.03991410887963,8122.0,00913
43.78807863827649,29387.0,00915
54.492576774455976,19086.0,00917
68.39708561020036,16552.0,00918
57.26310176721511,17995.0,00920
56.30279034690799,37696.0,00921
52.57064049520511,26591.0,00923
55.840002425124304,54584.0,00924
56.79228746713409,6899.0,00925
64.82235528942117,104645.0,00926
69.87483977983864,14447.0,00927
100.0,67.0,00934
30.23634881825591,731.0,00936
52.511362871995935,78552.0,00949
0.0,0.0,00950
33.333333333333336,15.0,00951
47.01074042391408,9363.0,00952
55.7967633917001,73099.0,00953
51.62115301257044,74529.0,00956
54.005923593146626,43336.0,00957
59.412872888018626,48168.0,00959
37.12914485165795,2355.0,00960
59.83531359781611,30978.0,00961
48.829445571331995,20975.0,00962
41.249263406010606,8483.0,00965
72.67270357412362,16058.0,00966
73.10606060606061,3492.0,00968
70.82483163299327,43021.0,00969
54.386833993835324,29095.0,00971
58.44553313462834,61762.0,00976
66.50529944621705,15234.0,00979
54.03577054953201,15029.0,00982
55.1055043276574,39407.0,00983
52.74445893089961,33653.0,00985
58.15818683089262,60377.0,00987
57.327377628885166,17438.0,01001
77.98977754544927,29780.0,01002
72.05882352941177,11241.0,01003
53.27020202020202,5201.0,01005
64.7217791954634,14838.0,01007
56.485788113695094,1171.0,01008
41.13149847094802,429.0,01009
65.40084388185655,3695.0,01010
49.20634920634921,1506.0,01011
61.81015452538632,539.0,01012
47.05665930831493,22394.0,01013
49.51831664342756,30952.0,01020
58.363504706734254,2840.0,01022
58.84244372990354,1036.0,01026
57.32104979896793,17787.0,01027
63.514419852448015,16017.0,01028
51.76571920757967,717.0,01029
56.22959271352465,11250.0,01030
48.59382203780544,1369.0,01031
66.57963446475196,611.0,01032
59.91362387122104,6304.0,01033
55.15256188831319,2190.0,01034
64.48776758409787,5324.0,01035
61.61583032688313,5179.0,01036
63.4959349593496,731.0,01037
59.07626208378088,2794.0,01038
73.4111543450065,1236.0,01039
54.106038843439705,40342.0,01040
52.59720985455625,2513.0,01050
64.241836404785,1772.0,01053
76.11739364566506,1993.0,01054
50.87928556136649,21348.0,01056
55.00796063106094,8712.0,01057
74.04351694572516,15229.0,01060
72.14338273940923,11029.0,01062
0.0,572.0,01063
100.0,10.0,01066
61.04630611523507,1803.0,01068
53.90671420083185,8976.0,01069
66.46825396825398,565.0,01070
53.83312155866158,1318.0,01071
76.56427758816837,1465.0,01072
59.84290623465881,6022.0,01073
50.54644808743169,247.0,01074
64.9795982423101,17781.0,01075
59.89614539644498,9640.0,01077
51.56794425087108,593.0,01079
44.52798663324979,2286.0,01080
48.03809523809523,1720.0,01081
50.56524238359839,10460.0,01082
45.662100456621005,2960.0,01083
70.73170731707317,155.0,01084
57.60069962446627,41509.0,01085
66.66666666666667,685.0,01086
