Zipcode,Population,Pop_W,Pop_B,Pop_A,Pop_H,Median Age,State,Land Area (sq mi),Center Point Lat,Center Point Lng,Pop Density
00707,11701.0,5655.0,4843.0,0.0,11685.0,41.5,PR,21.066,18.014055,-65.920751,555.4447925567265
00714,18988.0,10495.0,4703.0,0.0,18958.0,37.2,PR,14.618,18.003025,-66.046237,1298.946504309755
00715,3586.0,1773.0,715.0,0.0,3553.0,41.3,PR,7.869,18.011232999999994,-66.56006500000001,455.7122887279197
00716,30876.0,23289.0,1878.0,9.0,30726.0,39.3,PR,8.56,17.99204,-66.605856,3607.009345794392
00717,17704.0,13392.0,931.0,75.0,17479.0,34.6,PR,2.102,18.003222,-66.614037,8422.454804947669
00718,26547.0,16996.0,1073.0,208.0,26479.0,35.8,PR,45.24,18.231988,-65.759623,586.8037135278514
00719,30588.0,18413.0,1816.0,8.0,30477.0,37.0,PR,28.003,18.289927,-66.25344,1092.3115380494946
00720,22676.0,18438.0,520.0,0.0,22655.0,36.3,PR,59.602,18.217946,-66.428076,380.45703164323345
00723,18441.0,10774.0,4933.0,0.0,18410.0,41.7,PR,46.16,18.043498,-66.015479,399.50173310225307
00725,86276.0,64429.0,7941.0,441.0,85658.0,38.7,PR,42.231,18.218819,-66.042375,2042.9542279368236
00727,56503.0,44312.0,3919.0,113.0,55997.0,38.3,PR,21.489,18.215308,-66.073565,2629.3917818418727
00728,41337.0,33858.0,1913.0,51.0,41139.0,36.8,PR,15.647,17.989853,-66.664116,2641.848277625104
00729,53439.0,26593.0,7090.0,179.0,53364.0,37.0,PR,33.961,18.323585,-65.883206,1573.5402373310562
00730,34965.0,26046.0,2307.0,17.0,34719.0,39.0,PR,6.51,18.030831,-66.616838,5370.967741935484
00731,14382.0,11922.0,280.0,0.0,14331.0,41.0,PR,47.621,18.109947,-66.635622,302.00961760567816
00735,13063.0,7872.0,927.0,147.0,12998.0,40.3,PR,23.309,18.252603,-65.68249399999999,560.427302758591
00736,50335.0,38468.0,1873.0,196.0,50033.0,39.6,PR,55.097,18.103624,-66.151667,913.5706118300452
00738,33205.0,19819.0,3061.0,173.0,32929.0,39.4,PR,29.477,18.304458,-65.698711,1126.471486243512
00739,37970.0,29301.0,1738.0,77.0,37814.0,37.5,PR,31.58,18.177233,-66.160645,1202.343255224826
00740,1515.0,811.0,163.0,8.0,1515.0,34.8,PR,0.426,18.331178,-65.63410400000001,3556.3380281690143
00741,5514.0,2421.0,1219.0,0.0,5493.0,41.6,PR,2.363,18.163855,-65.754042,2333.474396953026
00745,53797.0,29015.0,7216.0,180.0,53403.0,38.5,PR,51.613,18.352216,-65.817387,1042.3149206595238
00751,22777.0,12328.0,3280.0,120.0,22594.0,37.2,PR,46.964,18.001317,-66.252183,484.98850183118986
00754,39651.0,32304.0,2905.0,0.0,39554.0,38.9,PR,51.029,18.147107,-65.976167,777.0287483587763
00757,22913.0,13663.0,2971.0,0.0,22873.0,35.5,PR,29.833,17.995441,-66.391334,768.0421010290618
00765,8993.0,4103.0,1020.0,131.0,8692.0,42.8,PR,19.039,18.130096,-65.439369,472.3462366720941
00766,24875.0,14074.0,877.0,9.0,24795.0,36.0,PR,40.039,18.133196,-66.476916,621.2692624690926
00767,36340.0,23811.0,8682.0,22.0,36261.0,39.7,PR,55.40600000000001,18.069489,-65.89616099999999,655.8856441540626
00769,39670.0,26868.0,3933.0,0.0,39574.0,37.8,PR,76.514,18.1038,-66.357586,518.4672086154168
00771,38340.0,27632.0,6187.0,126.0,38208.0,37.0,PR,33.819,18.187148,-65.871189,1133.682249622993
00772,21478.0,2980.0,8854.0,36.0,21473.0,36.2,PR,14.663,18.438969,-65.905174,1464.7752847302734
00773,19497.0,11024.0,1865.0,138.0,19043.0,39.3,PR,24.312,18.342888,-65.723109,801.9496544916091
00775,1554.0,789.0,82.0,0.0,1487.0,39.0,PR,10.561,18.326599,-65.30771999999999,147.145156708645
00777,40570.0,29148.0,1521.0,0.0,40358.0,36.1,PR,26.581,18.224133,-65.90854200000001,1526.2781686166811
00778,46765.0,29899.0,5875.0,110.0,46252.0,36.7,PR,29.644,18.264076,-65.97851,1577.5536364863042
00780,13016.0,9500.0,330.0,0.0,12864.0,37.7,PR,20.098,18.102834,-66.568105,647.6266295153747
00782,18530.0,11590.0,830.0,12.0,18503.0,36.3,PR,26.644,18.225708,-66.221633,695.4661462242907
00783,35151.0,20578.0,926.0,0.0,35090.0,36.4,PR,41.847,18.30391,-66.32617900000001,839.988529643702
00784,42625.0,29931.0,5612.0,36.0,42507.0,36.4,PR,55.551,18.010714,-66.133615,767.312919659412
00786,288.0,288.0,0.0,0.0,288.0,64.4,PR,0.257,18.155424,-66.229907,1120.622568093385
00791,50809.0,30130.0,4668.0,437.0,50234.0,39.5,PR,36.964,18.136782,-65.821476,1374.5536197381236
00794,30215.0,18315.0,827.0,0.0,30182.0,34.2,PR,35.297,18.198955,-66.309833,856.0217582230786
00795,46450.0,25932.0,4725.0,203.0,46352.0,36.9,PR,46.257,18.060494,-66.500624,1004.1723414834512
00901,6132.0,4522.0,699.0,32.0,5840.0,42.1,PR,0.979,18.465369,-66.104613,6263.534218590398
00906,73.0,66.0,0.0,7.0,73.0,30.9,PR,0.003,18.46446,-66.094995,24333.333333333332
00907,17382.0,12738.0,2371.0,32.0,16757.0,47.1,PR,1.209,18.452553,-66.077838,14377.171215880893
00909,5616.0,3198.0,628.0,6.0,5554.0,37.7,PR,0.609,18.44161,-66.067132,9221.674876847292
00911,7444.0,5246.0,796.0,11.0,6957.0,48.5,PR,0.476,18.451159,-66.05619899999999,15638.655462184875
00912,5979.0,3216.0,1172.0,81.0,5887.0,40.7,PR,0.334,18.445328,-66.060135,17901.197604790417
00913,8122.0,4521.0,1403.0,0.0,8026.0,28.0,PR,0.322,18.450002,-66.04265600000001,25223.60248447205
00915,29387.0,13883.0,5415.0,150.0,29085.0,38.3,PR,1.394,18.437179,-66.045571,21081.061692969874
00917,19086.0,13900.0,2584.0,49.0,18918.0,43.4,PR,1.297,18.420674,-66.050105,14715.49730146492
00918,16552.0,14115.0,694.0,22.0,16315.0,40.2,PR,2.13,18.421022,-66.065789,7770.892018779343
00920,17995.0,12317.0,4051.0,41.0,17765.0,43.7,PR,2.832,18.414292,-66.088042,6354.166666666667
00921,37696.0,24987.0,9256.0,109.0,37164.0,36.8,PR,2.68,18.392282,-66.088555,14065.671641791045
00923,26591.0,18438.0,4188.0,309.0,26136.0,38.8,PR,2.04,18.409307,-66.038888,13034.803921568628
00924,54584.0,34487.0,8914.0,868.0,53591.0,36.8,PR,4.689,18.399192000000006,-66.01245300000001,11640.86159095756
00925,6899.0,3965.0,854.0,224.0,6544.0,32.2,PR,0.447,18.400296,-66.050602,15434.00447427293
00926,104645.0,76508.0,6782.0,635.0,103342.0,40.8,PR,24.157,18.3454,-66.05154499999999,4331.870679306206
00927,14447.0,12682.0,771.0,103.0,14074.0,46.8,PR,2.627,18.388011,-66.072089,5499.42900647126
00934,67.0,11.0,56.0,0.0,0.0,38.7,PR,0.7490000000000001,18.411313,-66.124234,89.45260347129505
00936,731.0,525.0,68.0,17.0,731.0,59.2,PR,0.161,18.395463,-66.07377199999999,4540.372670807454
00949,78552.0,42227.0,6570.0,24.0,78079.0,37.7,PR,17.592,18.430696,-66.21283299999999,4465.211459754434
00950,0.0,0.0,0.0,0.0,0.0,,PR,2.396,18.459699,-66.233101,0.0
00951,15.0,7.0,8.0,0.0,15.0,,PR,0.415,18.42753,-66.253789,36.144578313253014
00952,9363.0,2746.0,917.0,0.0,9312.0,40.4,PR,1.237,18.427448,-66.18202600000001,7569.1188358932895
00953,73099.0,51525.0,5931.0,221.0,72659.0,35.9,PR,26.697,18.360729,-66.251527,2738.0979136232536
00956,74529.0,47187.0,6609.0,163.0,74211.0,38.9,PR,26.473000000000006,18.321137,-66.170419,2815.28349639255
00957,43336.0,25648.0,2963.0,73.0,43096.0,38.3,PR,4.621,18.368414,-66.18769300000001,9378.056697684484
00959,48168.0,29777.0,2808.0,62.0,47646.0,40.1,PR,6.416,18.385785,-66.155654,7507.481296758105
00960,2355.0,1025.0,194.0,7.0,2324.0,32.8,PR,0.93,18.416919,-66.14579499999999,2532.258064516129
00961,30978.0,16303.0,2051.0,63.0,30546.0,41.4,PR,5.158,18.413307,-66.164683,6005.816207832493
00962,20975.0,13147.0,2032.0,63.0,20870.0,35.5,PR,3.814,18.444614,-66.148839,5499.475616151022
00965,8483.0,4825.0,853.0,5.0,8410.0,38.5,PR,0.66,18.433757,-66.114752,12853.030303030302
00966,16058.0,13554.0,471.0,22.0,15760.0,42.8,PR,3.22,18.401521,-66.117597,4986.95652173913
00968,3492.0,3193.0,79.0,36.0,3374.0,56.7,PR,0.458,18.406085,-66.101232,7624.454148471616
00969,43021.0,35878.0,1723.0,79.0,42353.0,40.6,PR,4.884,18.368062,-66.108062,8808.558558558558
