,Zipcode,Population,Edu_None,Edu_Ass,Edu_GED,Edu_HS,Edu_Bach,Edu_Mast,Edu_Prof,Edu_Doct
5140,16820,1058.0,23.0,89.0,20.0,347.0,65.0,25.0,0.0,16.0
5141,16821,189.0,0.0,0.0,0.0,122.0,0.0,12.0,0.0,0.0
5142,16822,2147.0,11.0,145.0,55.0,714.0,134.0,46.0,4.0,4.0
5143,16823,28798.0,202.0,2312.0,1362.0,8061.0,3368.0,1063.0,228.0,254.0
5144,16825,326.0,0.0,21.0,0.0,71.0,6.0,0.0,0.0,0.0
5145,16826,562.0,16.0,27.0,0.0,234.0,20.0,12.0,2.0,0.0
5146,16827,4316.0,0.0,308.0,15.0,429.0,1080.0,413.0,55.0,265.0
5147,16828,4732.0,13.0,186.0,109.0,1355.0,691.0,206.0,81.0,91.0
5148,16829,606.0,0.0,40.0,33.0,276.0,34.0,3.0,0.0,0.0
5149,16830,13755.0,113.0,1018.0,630.0,3859.0,1070.0,292.0,160.0,116.0
5150,16832,735.0,2.0,20.0,15.0,145.0,44.0,10.0,9.0,2.0
5151,16833,5409.0,12.0,360.0,207.0,1902.0,427.0,131.0,13.0,13.0
5152,16834,154.0,0.0,22.0,17.0,81.0,0.0,0.0,0.0,0.0
5153,16835,184.0,1.0,2.0,14.0,52.0,16.0,10.0,0.0,0.0
5154,16836,1159.0,9.0,69.0,50.0,489.0,40.0,21.0,2.0,2.0
5155,16837,108.0,0.0,0.0,9.0,52.0,8.0,0.0,0.0,0.0
5156,16838,1851.0,3.0,154.0,75.0,609.0,119.0,46.0,12.0,0.0
5157,16839,637.0,0.0,34.0,27.0,180.0,20.0,0.0,5.0,0.0
5158,16840,623.0,0.0,54.0,0.0,198.0,11.0,12.0,0.0,0.0
5159,16841,5640.0,40.0,339.0,198.0,1838.0,365.0,212.0,8.0,20.0
5160,16843,410.0,0.0,32.0,0.0,131.0,0.0,0.0,0.0,0.0
5161,16844,2962.0,6.0,202.0,72.0,1026.0,303.0,128.0,14.0,30.0
5162,16845,1072.0,12.0,76.0,93.0,349.0,37.0,7.0,0.0,0.0
5163,16847,350.0,0.0,0.0,30.0,134.0,12.0,0.0,0.0,0.0
5164,16848,357.0,0.0,19.0,14.0,122.0,20.0,13.0,0.0,0.0
5165,16849,350.0,0.0,35.0,26.0,72.0,91.0,15.0,5.0,0.0
5166,16851,923.0,0.0,12.0,0.0,25.0,110.0,23.0,0.0,173.0
5167,16852,346.0,9.0,5.0,0.0,130.0,34.0,0.0,10.0,0.0
5168,16853,183.0,0.0,0.0,20.0,73.0,20.0,0.0,0.0,0.0
5169,16854,910.0,3.0,80.0,33.0,272.0,82.0,17.0,5.0,7.0
5170,16855,277.0,0.0,21.0,83.0,68.0,0.0,0.0,0.0,0.0
5171,16858,3890.0,6.0,241.0,115.0,1485.0,169.0,57.0,0.0,0.0
5172,16859,457.0,1.0,34.0,15.0,179.0,22.0,5.0,0.0,0.0
5173,16860,466.0,0.0,47.0,0.0,128.0,97.0,12.0,0.0,0.0
5174,16861,256.0,1.0,14.0,8.0,101.0,10.0,0.0,2.0,0.0
5175,16863,707.0,0.0,72.0,28.0,272.0,17.0,5.0,0.0,0.0
5176,16865,2215.0,0.0,47.0,92.0,425.0,424.0,215.0,64.0,114.0
5177,16866,10110.0,270.0,553.0,621.0,3437.0,642.0,226.0,59.0,22.0
5178,16868,394.0,0.0,21.0,0.0,158.0,31.0,0.0,26.0,0.0
5179,16870,6699.0,6.0,266.0,88.0,1220.0,1161.0,773.0,169.0,215.0
5180,16871,28.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0
5181,16872,1285.0,14.0,48.0,27.0,375.0,66.0,42.0,0.0,5.0
5182,16874,1582.0,4.0,50.0,17.0,584.0,104.0,17.0,5.0,0.0
5183,16875,4261.0,15.0,238.0,110.0,1259.0,460.0,257.0,10.0,43.0
5184,16876,333.0,3.0,27.0,21.0,119.0,16.0,1.0,0.0,0.0
5185,16877,1645.0,20.0,148.0,27.0,532.0,231.0,73.0,18.0,21.0
5186,16878,1877.0,29.0,157.0,99.0,686.0,118.0,16.0,5.0,0.0
5187,16879,306.0,5.0,5.0,31.0,94.0,16.0,0.0,0.0,5.0
5188,16881,2125.0,10.0,160.0,110.0,775.0,103.0,45.0,0.0,0.0
5189,16882,422.0,3.0,22.0,23.0,79.0,35.0,3.0,3.0,0.0
5190,16901,10323.0,40.0,609.0,478.0,2512.0,1119.0,547.0,168.0,120.0
5191,16911,469.0,2.0,26.0,15.0,154.0,22.0,13.0,0.0,0.0
5192,16912,1830.0,11.0,96.0,79.0,392.0,182.0,53.0,17.0,0.0
5193,16914,2104.0,6.0,151.0,55.0,652.0,166.0,60.0,12.0,11.0
5194,16915,5985.0,51.0,335.0,209.0,1483.0,658.0,345.0,89.0,10.0
5195,16917,1323.0,17.0,83.0,66.0,366.0,88.0,37.0,7.0,6.0
5196,16920,2089.0,22.0,90.0,120.0,679.0,120.0,51.0,0.0,0.0
5197,16921,587.0,0.0,50.0,25.0,210.0,14.0,7.0,7.0,2.0
5198,16922,1959.0,19.0,93.0,90.0,657.0,108.0,51.0,11.0,2.0
5199,16923,1606.0,11.0,115.0,81.0,479.0,54.0,31.0,0.0,0.0
5200,16925,3266.0,10.0,187.0,162.0,955.0,132.0,124.0,6.0,13.0
5201,16926,869.0,5.0,31.0,35.0,234.0,75.0,21.0,7.0,6.0
5202,16927,689.0,5.0,31.0,14.0,227.0,12.0,26.0,0.0,0.0
5203,16928,1320.0,14.0,74.0,65.0,369.0,80.0,37.0,4.0,3.0
5204,16929,2438.0,10.0,176.0,99.0,653.0,192.0,98.0,13.0,15.0
5205,16930,1317.0,3.0,92.0,27.0,349.0,111.0,84.0,2.0,3.0
5206,16932,780.0,3.0,20.0,42.0,194.0,72.0,35.0,0.0,2.0
5207,16933,7091.0,30.0,292.0,180.0,1622.0,739.0,419.0,32.0,91.0
5208,16935,1400.0,6.0,77.0,28.0,422.0,91.0,51.0,5.0,3.0
5209,16936,1992.0,14.0,108.0,63.0,629.0,106.0,54.0,12.0,5.0
5210,16937,272.0,0.0,5.0,10.0,74.0,7.0,2.0,0.0,0.0
5211,16938,754.0,0.0,49.0,34.0,215.0,52.0,39.0,2.0,0.0
5212,16939,449.0,0.0,37.0,20.0,107.0,17.0,13.0,0.0,0.0
5213,16940,350.0,0.0,10.0,2.0,74.0,25.0,17.0,0.0,0.0
5214,16941,100.0,0.0,12.0,3.0,40.0,0.0,0.0,0.0,0.0
5215,16942,801.0,0.0,46.0,36.0,301.0,46.0,13.0,0.0,0.0
5216,16943,446.0,8.0,13.0,17.0,186.0,4.0,9.0,0.0,0.0
5217,16946,2397.0,24.0,98.0,115.0,642.0,190.0,41.0,16.0,7.0
5218,16947,5339.0,101.0,327.0,202.0,1646.0,379.0,210.0,21.0,11.0
5219,16948,1629.0,2.0,75.0,56.0,492.0,68.0,50.0,4.0,2.0
5220,16950,3466.0,16.0,197.0,162.0,1110.0,180.0,87.0,8.0,0.0
5221,17002,692.0,4.0,20.0,10.0,167.0,7.0,3.0,0.0,0.0
5222,17003,11510.0,53.0,545.0,335.0,3030.0,1028.0,541.0,70.0,23.0
5223,17004,4769.0,51.0,154.0,99.0,1096.0,253.0,78.0,17.0,16.0
5224,17005,377.0,0.0,32.0,0.0,124.0,38.0,2.0,0.0,0.0
5225,17006,1105.0,9.0,40.0,41.0,298.0,20.0,9.0,0.0,5.0
5226,17007,5787.0,14.0,283.0,134.0,1049.0,895.0,614.0,57.0,85.0
5227,17009,2018.0,10.0,114.0,123.0,633.0,137.0,10.0,5.0,0.0
5228,17010,115.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0
5229,17011,34996.0,270.0,2282.0,1133.0,6763.0,6366.0,2507.0,776.0,303.0
5230,17013,35116.0,221.0,1848.0,1253.0,7721.0,4073.0,2323.0,345.0,500.0
5231,17015,21374.0,112.0,1181.0,768.0,5763.0,2657.0,1226.0,320.0,182.0
5232,17016,616.0,0.0,0.0,8.0,328.0,33.0,52.0,24.0,27.0
5233,17017,1665.0,13.0,89.0,19.0,647.0,115.0,52.0,4.0,9.0
5234,17018,4475.0,33.0,252.0,128.0,1192.0,482.0,264.0,27.0,26.0
5235,17019,18249.0,33.0,1100.0,390.0,4368.0,2325.0,906.0,333.0,132.0
5236,17020,9091.0,36.0,618.0,380.0,2571.0,767.0,268.0,18.0,19.0
5237,17021,956.0,9.0,12.0,54.0,364.0,26.0,11.0,0.0,0.0
5238,17022,29395.0,185.0,1663.0,768.0,6641.0,3765.0,1395.0,336.0,265.0
5239,17023,3726.0,17.0,224.0,95.0,1072.0,203.0,91.0,25.0,5.0
5240,17024,1830.0,8.0,94.0,44.0,486.0,142.0,46.0,17.0,19.0
5241,17025,17314.0,58.0,979.0,513.0,3889.0,2267.0,897.0,179.0,54.0
5242,17026,3924.0,40.0,205.0,165.0,1272.0,284.0,65.0,22.0,0.0
5243,17027,2250.0,0.0,45.0,0.0,66.0,78.0,79.0,8.0,18.0
5244,17028,3460.0,6.0,200.0,146.0,1008.0,294.0,104.0,36.0,37.0
5245,17029,459.0,0.0,47.0,29.0,146.0,0.0,0.0,0.0,0.0
5246,17030,899.0,11.0,60.0,11.0,333.0,28.0,9.0,0.0,0.0
5247,17032,8331.0,64.0,535.0,204.0,2873.0,603.0,216.0,33.0,12.0
5248,17033,17649.0,275.0,954.0,426.0,2650.0,2923.0,1558.0,887.0,386.0
5249,17034,2249.0,10.0,158.0,80.0,646.0,188.0,17.0,8.0,0.0
5250,17035,824.0,21.0,24.0,34.0,321.0,5.0,10.0,0.0,0.0
5251,17036,21792.0,40.0,1198.0,218.0,3900.0,3391.0,1713.0,1074.0,737.0
5252,17037,966.0,4.0,32.0,41.0,256.0,71.0,42.0,0.0,0.0
5253,17038,8650.0,83.0,680.0,285.0,2465.0,453.0,172.0,12.0,21.0
5254,17039,21.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0
5255,17040,2388.0,13.0,146.0,84.0,698.0,221.0,67.0,13.0,5.0
5256,17041,133.0,0.0,10.0,0.0,52.0,0.0,0.0,0.0,0.0
5257,17042,36829.0,336.0,1675.0,894.0,9692.0,3752.0,1821.0,552.0,192.0
5258,17043,5825.0,48.0,515.0,47.0,1239.0,796.0,330.0,68.0,46.0
5259,17044,21077.0,154.0,1053.0,1447.0,6650.0,1227.0,372.0,85.0,45.0
5260,17045,3107.0,41.0,219.0,86.0,972.0,205.0,87.0,19.0,8.0
5261,17046,31040.0,399.0,1338.0,1332.0,8249.0,1356.0,653.0,156.0,61.0
5262,17047,2869.0,10.0,123.0,86.0,759.0,93.0,25.0,3.0,4.0
5263,17048,3966.0,32.0,189.0,118.0,1017.0,194.0,41.0,9.0,3.0
