,Zipcode,Total Discharges,Average Charge,National Average Charge,Difference,Unnamed: 0,Center Point Lat,Center Point Lng,ID,Gmaps Lat,Gmaps Lon,new,Weight
0,10003,72.7196261682243,16867.59271028037,11566.62196261681,5300.970747663549,2560,40.731829,-73.989181,3.0,40.7322535,-73.9874105,8678.906667,13979.877414663548
1,10016,50.691176470588225,20250.382426470587,11320.090220588236,8930.292205882359,2571,40.745221,-73.97829399999998,2.0,40.74727,-73.9800645,8678.906667,17609.198872882356
2,10019,43.46153846153846,17563.18009615385,11485.672403846153,6077.50769230769,2574,40.765823,-73.987179,2.0,40.7686973,-73.9918181,8678.906667,14756.41435930769
3,10021,108.97716894977171,19834.264748858433,12282.21210045663,7552.052648401828,2576,40.769225,-73.958741,6.0,40.7700703,-73.95802459999999,8678.906667,16230.959315401828
4,10029,72.064,19553.34328,11457.78511999999,8095.55816,2584,40.791763,-73.94397,1.0,40.79164069999999,-73.94479940000001,8678.906667,16774.464827
5,10037,21.041666666666668,17266.7,7976.6641666666665,9290.035833333337,2592,40.81296,-73.937376,1.0,40.8140369,-73.9374517,8678.906667,17968.942500333338
6,10304,28.410714285714285,15563.950000000004,10011.900714285712,5552.049285714287,2630,40.608497,-74.093239,2.0,40.6047352,-74.09169440000001,8678.906667,14230.955952714286
7,10305,57.464646464646464,15948.043535353536,11380.94202020202,4567.101515151515,2631,40.596691,-74.074866,2.0,40.5944059,-74.0711359,8678.906667,13246.008182151514
8,10451,25.731707317073173,24089.47024390244,8980.413414634146,15109.056829268291,2640,40.820454,-73.925066,1.0,40.8187386,-73.92716440000001,8678.906667,23787.96349626829
9,10456,25.777777777777782,20708.122777777782,9035.673888888889,11672.44888888889,2645,40.829886,-73.908121,1.0,40.83102239999999,-73.90952790000001,8678.906667,20351.35555588889
10,10457,24.689655172413797,22626.75413793104,10268.747241379311,12358.006896551724,2646,40.847162,-73.898663,2.0,40.84413869999999,-73.8977693,8678.906667,21036.913563551723
11,10461,27.225,23590.18675,10228.113000000001,13362.07375,2650,40.847396,-73.84057800000002,4.0,40.8476284,-73.83602509999999,8678.906667,22040.980417
12,10467,86.68333333333334,20657.395083333333,11542.026333333326,9115.36875,2656,40.869953,-73.865765,1.0,40.872398700000005,-73.8713099,8678.906667,17794.275416999997
13,10512,35.264150943396224,9743.048490566038,9833.886603773584,-90.83811320754722,2675,41.457619,-73.72460799999998,1.0,41.483411,-73.7242486,8678.906667,8588.068553792453
14,10549,30.87931034482759,10376.437413793108,10911.569827586209,-535.1324137931034,2701,41.200584,-73.723465,1.0,41.19835429999999,-73.712479,8678.906667,8143.774253206896
15,10550,17.25,10794.501875,7987.2350000000015,2807.2668750000007,2702,40.905448,-73.83525300000002,1.0,40.9087956,-73.83308439999998,8678.906667,11486.173542
16,10567,42.0,9877.941403508774,10117.955614035089,-240.01421052631596,2708,41.2896,-73.897001,1.0,41.2808277,-73.87719009999998,8678.906667,8438.892456473683
17,10591,33.627450980392155,10716.951764705884,9836.858823529412,880.0929411764705,2720,41.090097,-73.841014,1.0,41.0813932,-73.8536683,8678.906667,9558.99960817647
18,10595,34.60674157303371,22317.780674157293,11810.775168539329,10507.005505617975,2722,41.085896999999996,-73.782645,1.0,41.085128000000005,-73.7772032,8678.906667,19185.912172617973
19,10601,40.837209302325576,12142.07639534884,11591.404069767439,550.6723255813953,2726,41.032947,-73.765064,1.0,41.0322939,-73.7683784,8678.906667,9229.578992581395
20,10701,38.737864077669904,12811.138446601943,9948.77067961165,2862.367766990292,2732,40.945417,-73.880475,2.0,40.9413523,-73.8713099,8678.906667,11541.274433990291
21,10708,35.24590163934426,10098.404918032782,9882.13213114754,216.27278688524598,2738,40.938266999999996,-73.829922,1.0,40.9383349,-73.83308439999998,8678.906667,8895.179453885245
22,10901,43.35714285714285,11572.018809523808,11651.966547619046,-79.94773809523794,2745,41.140772,-74.10497600000002,2.0,41.1411152,-74.1357407,8678.906667,8598.958928904762
23,10940,58.89320388349515,14862.209417475733,11948.02747572815,2914.181941747573,2768,41.446544,-74.478741,0.0,41.4334745,-74.4760088,8678.906667,11593.088608747572
24,10960,46.2463768115942,11295.316666666666,10167.233768115944,1128.0828985507244,2776,41.091826,-73.925798,1.0,41.0938791,-73.9065883,8678.906667,9806.989565550724
25,10990,33.1875,8588.07125,9892.2075,-1304.1362500000002,2798,41.267448,-74.364011,1.0,41.2564266,-74.3597872,8678.906667,7374.770416999999
26,11030,87.31304347826088,16175.061304347828,11834.100086956514,4340.961217391304,2813,40.793409000000004,-73.688549,1.0,40.7960005,-73.6830521,8678.906667,13019.867884391304
27,11040,53.63366336633664,18983.761584158416,11845.466534653457,7138.29504950495,2814,40.745346999999995,-73.68029200000002,1.0,40.7466623,-73.6830521,8678.906667,15817.20171650495
28,11201,28.980392156862745,18705.059019607845,9689.577254901958,9015.48176470588,2825,40.6937,-73.989859,3.0,40.698677200000006,-73.98594140000002,8678.906667,17694.38843170588
29,11203,27.572413793103447,18954.02027586206,9668.919448275861,9285.100827586202,2826,40.64959,-73.934374,3.0,40.651588200000006,-73.93304289999998,8678.906667,17964.0074945862
30,11206,19.157894736842106,24145.463157894737,9352.173684210526,14793.289473684214,2829,40.701954,-73.942358,1.0,40.7047738,-73.9418603,8678.906667,23472.196140684213
31,11212,24.377777777777773,19187.69288888889,10015.563111111109,9172.12977777778,2835,40.662932,-73.91301899999998,1.0,40.663918100000004,-73.91540690000001,8678.906667,17851.03644477778
