Zipcode,Land Area (sq mi),Center Point Lat,Center Point Lng
1072,20.086,42.456968,-72.417244
1073,28.152,42.226949,-72.741588
1074,0.085,42.387603,-72.09323
1075,17.718,42.256208,-72.58103
1077,30.821,42.05257,-72.777353
1079,1.128,42.197913,-72.329709
1080,1.727,42.185727,-72.361558
1081,14.497,42.061313,-72.234411
1082,46.105,42.293533,-72.278599
1083,15.78,42.203642,-72.194599
1084,9.197,42.39237,-72.882235
1085,59.882,42.153503,-72.771602
1086,0.037,42.130446,-72.793967
1088,5.2,42.391709,-72.646494
1089,16.713,42.125451,-72.649734
1092,6.703,42.191868,-72.235108
1093,5.044,42.441943,-72.661817
1094,1.136,42.359108,-72.1368
1095,22.614,42.138499,-72.420715
1096,31.683,42.39714,-72.763572
1097,1.709,42.178038,-72.832612
1098,31.352,42.394315,-72.943115
1103,0.46,42.104106,-72.592027
1104,5.216,42.134009,-72.565378
1105,1.243,42.099958,-72.580765
1106,9.301,42.047565,-72.57113
1107,1.507,42.12106,-72.607068
1108,3.723,42.080692,-72.560791
1109,5.442,42.119674,-72.549726
1118,3.595,42.094194,-72.525081
1119,3.55,42.124978,-72.51121
1128,1.117,42.092296,-72.489135
1129,3.424,42.11869,-72.4882
1151,2.368,42.15186,-72.509131
1199,0.011,42.120563,-72.604468
1201,52.918,42.448236,-73.273727
1220,24.596,42.623799,-73.116736
1222,3.307,42.058703,-73.322175
1223,69.751,42.312225,-73.110124
1224,0.278,42.513163,-73.195743
1225,25.106,42.563401,-73.153335
1226,26.378,42.481119,-73.135073
1229,0.733,42.276338,-73.335896
1230,91.522,42.173192,-73.324283
1235,45.643,42.425676,-73.063012
1236,4.802,42.266496,-73.378393
1237,61.823,42.547818,-73.268033
1238,34.833,42.297501,-73.230148
1240,21.38,42.367858,-73.269763
1242,0.497,42.333734,-73.249199
1243,18.651,42.350122,-73.024112
1244,2.45,42.118094,-73.257497
1245,27.98,42.186893,-73.223105
1247,52.526,42.698526,-73.0843
1253,18.267,42.206683,-73.113214
1254,14.561,42.382019,-73.365492
1255,51.806,42.107496,-73.118607
1256,35.845,42.594166,-73.02232
1257,36.234,42.085244,-73.367483
1258,25.807,42.10928,-73.462886
1259,25.326,42.075469,-73.234376
1260,2.511,42.295696,-73.342543
